0.0	0.5
Integration time [ms]:	1.05
Averaging Nr. [scans]:1
Smoothing Nr. [pixels]:0
Data measured with spectrometer [name]:b'1703279U8'
Wave	;Sample	;Dark	;Reference	;Scope	
[nm]	;[counts]	;[counts]	;[counts]	
 
725,3621826171875;	373,5;	0,0;	0,0
725,4813842773438;	378,5;	0,0;	0,0
725,6005249023438;	379,75;	0,0;	0,0
725,7197265625;	376,75;	0,0;	0,0
725,8388671875;	371,0;	0,0;	0,0
725,9579467773438;	389,25;	0,0;	0,0
726,0770874023438;	381,25;	0,0;	0,0
726,1961669921875;	384,25;	0,0;	0,0
726,315185546875;	421,75;	0,0;	0,0
726,4342651367188;	368,0;	0,0;	0,0
726,5532836914062;	410,0;	0,0;	0,0
726,6723022460938;	385,5;	0,0;	0,0
726,7913208007812;	389,5;	0,0;	0,0
726,9102783203125;	363,75;	0,0;	0,0
727,0292358398438;	384,5;	0,0;	0,0
727,148193359375;	366,0;	0,0;	0,0
727,26708984375;	410,75;	0,0;	0,0
727,385986328125;	408,25;	0,0;	0,0
727,5048828125;	377,75;	0,0;	0,0
727,6237182617188;	392,25;	0,0;	0,0
727,7426147460938;	385,0;	0,0;	0,0
727,8614501953125;	378,75;	0,0;	0,0
727,9801635742188;	418,5;	0,0;	0,0
728,0989379882812;	383,75;	0,0;	0,0
728,2177124023438;	391,0;	0,0;	0,0
728,3364868164062;	401,5;	0,0;	0,0
728,4552612304688;	412,25;	0,0;	0,0
728,573974609375;	393,25;	0,0;	0,0
728,6926879882812;	398,25;	0,0;	0,0
728,8113403320312;	386,5;	0,0;	0,0
728,9299926757812;	405,25;	0,0;	0,0
729,0486450195312;	389,5;	0,0;	0,0
729,1672973632812;	414,5;	0,0;	0,0
729,285888671875;	453,5;	0,0;	0,0
729,4044799804688;	397,25;	0,0;	0,0
729,5230712890625;	372,0;	0,0;	0,0
729,6416625976562;	380,75;	0,0;	0,0
729,7601928710938;	389,25;	0,0;	0,0
729,8787231445312;	387,75;	0,0;	0,0
729,9971313476562;	398,0;	0,0;	0,0
730,1156005859375;	396,0;	0,0;	0,0
730,2340698242188;	409,25;	0,0;	0,0
730,3525390625;	393,5;	0,0;	0,0
730,470947265625;	363,75;	0,0;	0,0
730,58935546875;	406,0;	0,0;	0,0
730,707763671875;	415,0;	0,0;	0,0
730,826171875;	396,0;	0,0;	0,0
730,9445190429688;	402,75;	0,0;	0,0
731,0628662109375;	428,25;	0,0;	0,0
731,18115234375;	384,5;	0,0;	0,0
731,2994995117188;	430,0;	0,0;	0,0
731,4177856445312;	395,0;	0,0;	0,0
731,5360107421875;	389,75;	0,0;	0,0
731,654296875;	391,0;	0,0;	0,0
731,7725219726562;	384,75;	0,0;	0,0
731,8906860351562;	395,0;	0,0;	0,0
732,0088500976562;	400,0;	0,0;	0,0
732,1270141601562;	410,25;	0,0;	0,0
732,2451782226562;	419,5;	0,0;	0,0
732,3633422851562;	426,75;	0,0;	0,0
732,4814453125;	462,0;	0,0;	0,0
732,5995483398438;	453,0;	0,0;	0,0
732,7176513671875;	458,5;	0,0;	0,0
732,8357543945312;	405,25;	0,0;	0,0
732,9537963867188;	376,25;	0,0;	0,0
733,07177734375;	393,0;	0,0;	0,0
733,189697265625;	417,5;	0,0;	0,0
733,3076782226562;	405,25;	0,0;	0,0
733,4256591796875;	400,0;	0,0;	0,0
733,5436401367188;	417,0;	0,0;	0,0
733,6615600585938;	376,5;	0,0;	0,0
733,7794799804688;	425,25;	0,0;	0,0
733,8973999023438;	404,0;	0,0;	0,0
734,0152587890625;	398,5;	0,0;	0,0
734,1331176757812;	420,5;	0,0;	0,0
734,2509765625;	426,75;	0,0;	0,0
734,3687744140625;	433,0;	0,0;	0,0
734,486572265625;	421,0;	0,0;	0,0
734,6043701171875;	383,75;	0,0;	0,0
734,72216796875;	407,25;	0,0;	0,0
734,8399047851562;	407,25;	0,0;	0,0
734,9576416015625;	386,0;	0,0;	0,0
735,0753173828125;	407,5;	0,0;	0,0
735,1930541992188;	405,25;	0,0;	0,0
735,3107299804688;	410,5;	0,0;	0,0
735,4283447265625;	432,5;	0,0;	0,0
735,5460205078125;	379,5;	0,0;	0,0
735,6636352539062;	426,25;	0,0;	0,0
735,78125;	432,0;	0,0;	0,0
735,8988647460938;	405,75;	0,0;	0,0
736,016357421875;	384,75;	0,0;	0,0
736,1339111328125;	411,25;	0,0;	0,0
736,25146484375;	387,0;	0,0;	0,0
736,3690185546875;	424,5;	0,0;	0,0
736,4864501953125;	424,75;	0,0;	0,0
736,6039428710938;	440,75;	0,0;	0,0
736,7213745117188;	390,0;	0,0;	0,0
736,8388671875;	398,0;	0,0;	0,0
736,9562377929688;	427,25;	0,0;	0,0
737,0736083984375;	398,25;	0,0;	0,0
737,1910400390625;	390,75;	0,0;	0,0
737,3084106445312;	370,5;	0,0;	0,0
737,4257202148438;	410,5;	0,0;	0,0
737,5430297851562;	393,0;	0,0;	0,0
737,660400390625;	424,0;	0,0;	0,0
737,7776489257812;	413,75;	0,0;	0,0
737,8948974609375;	417,25;	0,0;	0,0
738,01220703125;	434,75;	0,0;	0,0
738,1294555664062;	429,0;	0,0;	0,0
738,24658203125;	421,0;	0,0;	0,0
738,36376953125;	425,25;	0,0;	0,0
738,48095703125;	421,5;	0,0;	0,0
738,5980834960938;	441,25;	0,0;	0,0
738,7152709960938;	439,5;	0,0;	0,0
738,8323974609375;	481,0;	0,0;	0,0
