0.0	1.0
Integration time [ms]:	1.05
Averaging Nr. [scans]:1
Smoothing Nr. [pixels]:0
Data measured with spectrometer [name]:b'1703272U8'
Wave	;Sample	;Dark	;Reference	;Scope	
[nm]	;[counts]	;[counts]	;[counts]	
 
177,84457397460938;	201,25;	0,0;	0,0
177,88824462890625;	184,25;	0,0;	0,0
177,931884765625;	168,25;	0,0;	0,0
177,9755401611328;	183,5;	0,0;	0,0
178,01918029785156;	175,25;	0,0;	0,0
178,06283569335938;	184,0;	0,0;	0,0
178,10646057128906;	195,5;	0,0;	0,0
178,15008544921875;	181,5;	0,0;	0,0
178,19371032714844;	180,75;	0,0;	0,0
178,23733520507812;	178,5;	0,0;	0,0
178,28094482421875;	165,5;	0,0;	0,0
178,32455444335938;	179,25;	0,0;	0,0
178,3681640625;	168,25;	0,0;	0,0
178,4117431640625;	185,75;	0,0;	0,0
178,45535278320312;	189,25;	0,0;	0,0
178,49893188476562;	172,25;	0,0;	0,0
178,54251098632812;	195,0;	0,0;	0,0
178,58609008789062;	181,0;	0,0;	0,0
178,62965393066406;	194,75;	0,0;	0,0
178,6732177734375;	172,5;	0,0;	0,0
178,71678161621094;	181,0;	0,0;	0,0
178,76034545898438;	171,5;	0,0;	0,0
178,8038787841797;	190,0;	0,0;	0,0
178,84744262695312;	196,75;	0,0;	0,0
178,89096069335938;	180,25;	0,0;	0,0
178,93450927734375;	199,0;	0,0;	0,0
178,97802734375;	169,75;	0,0;	0,0
179,0215606689453;	177,5;	0,0;	0,0
179,0650634765625;	182,75;	0,0;	0,0
179,10858154296875;	193,0;	0,0;	0,0
179,15208435058594;	182,0;	0,0;	0,0
179,19558715820312;	181,75;	0,0;	0,0
179,2390899658203;	198,75;	0,0;	0,0
179,28257751464844;	181,25;	0,0;	0,0
179,32606506347656;	167,0;	0,0;	0,0
179,36953735351562;	180,5;	0,0;	0,0
179,41302490234375;	171,75;	0,0;	0,0
179,4564666748047;	172,75;	0,0;	0,0
179,49993896484375;	175,0;	0,0;	0,0
179,5433807373047;	176,5;	0,0;	0,0
179,5868377685547;	168,25;	0,0;	0,0
179,6302947998047;	197,25;	0,0;	0,0
179,67373657226562;	174,75;	0,0;	0,0
179,71717834472656;	189,5;	0,0;	0,0
179,76060485839844;	175,25;	0,0;	0,0
179,8040313720703;	164,0;	0,0;	0,0
179,84744262695312;	176,0;	0,0;	0,0
179,890869140625;	157,75;	0,0;	0,0
179,93426513671875;	176,75;	0,0;	0,0
179,97769165039062;	197,0;	0,0;	0,0
180,0210723876953;	185,0;	0,0;	0,0
180,06448364257812;	181,0;	0,0;	0,0
180,10787963867188;	195,25;	0,0;	0,0
180,15122985839844;	173,75;	0,0;	0,0
180,1946258544922;	170,0;	0,0;	0,0
180,2379913330078;	184,5;	0,0;	0,0
180,28135681152344;	169,0;	0,0;	0,0
180,32470703125;	184,5;	0,0;	0,0
180,36807250976562;	188,25;	0,0;	0,0
180,4114227294922;	186,0;	0,0;	0,0
180,45477294921875;	188,25;	0,0;	0,0
180,49810791015625;	163,5;	0,0;	0,0
180,54144287109375;	190,25;	0,0;	0,0
180,58477783203125;	176,5;	0,0;	0,0
180,62808227539062;	187,5;	0,0;	0,0
180,67141723632812;	185,0;	0,0;	0,0
180,7147216796875;	176,75;	0,0;	0,0
180,75804138183594;	195,0;	0,0;	0,0
180,80133056640625;	189,25;	0,0;	0,0
180,84463500976562;	191,25;	0,0;	0,0
180,88790893554688;	182,0;	0,0;	0,0
180,9311981201172;	192,75;	0,0;	0,0
180,9744873046875;	184,0;	0,0;	0,0
181,01776123046875;	175,0;	0,0;	0,0
181,06103515625;	170,5;	0,0;	0,0
181,1042938232422;	184,0;	0,0;	0,0
181,14755249023438;	192,75;	0,0;	0,0
181,1907958984375;	181,0;	0,0;	0,0
181,2340545654297;	180,0;	0,0;	0,0
181,2772979736328;	173,25;	0,0;	0,0
181,32054138183594;	184,0;	0,0;	0,0
181,36375427246094;	200,75;	0,0;	0,0
181,406982421875;	189,0;	0,0;	0,0
181,45021057128906;	169,0;	0,0;	0,0
181,49342346191406;	174,5;	0,0;	0,0
181,53665161132812;	171,0;	0,0;	0,0
181,579833984375;	176,75;	0,0;	0,0
181,623046875;	186,5;	0,0;	0,0
181,66622924804688;	181,5;	0,0;	0,0
181,7094268798828;	188,25;	0,0;	0,0
181,75259399414062;	179,5;	0,0;	0,0
181,7957763671875;	192,25;	0,0;	0,0
181,8389434814453;	176,75;	0,0;	0,0
181,8821258544922;	180,25;	0,0;	0,0
181,92527770996094;	192,5;	0,0;	0,0
181,9684295654297;	174,75;	0,0;	0,0
182,0115966796875;	189,5;	0,0;	0,0
182,0547332763672;	186,75;	0,0;	0,0
182,09786987304688;	196,0;	0,0;	0,0
182,14100646972656;	185,25;	0,0;	0,0
182,18414306640625;	177,75;	0,0;	0,0
182,2272491455078;	171,25;	0,0;	0,0
182,27037048339844;	191,75;	0,0;	0,0
182,31350708007812;	172,0;	0,0;	0,0
182,35658264160156;	196,5;	0,0;	0,0
182,3997039794922;	189,75;	0,0;	0,0
182,4427947998047;	192,5;	0,0;	0,0
182,4858856201172;	193,75;	0,0;	0,0
182,52896118164062;	181,0;	0,0;	0,0
182,57205200195312;	171,75;	0,0;	0,0
182,6151123046875;	187,25;	0,0;	0,0
182,658203125;	168,25;	0,0;	0,0
182,70126342773438;	184,75;	0,0;	0,0
182,7443084716797;	197,0;	0,0;	0,0
182,78738403320312;	170,25;	0,0;	0,0
182,83041381835938;	190,0;	0,0;	0,0
182,8734588623047;	195,0;	0,0;	0,0
182,91648864746094;	193,75;	0,0;	0,0
182,9595184326172;	178,0;	0,0;	0,0
183,00253295898438;	184,5;	0,0;	0,0
183,04556274414062;	201,0;	0,0;	0,0
183,0885772705078;	186,0;	0,0;	0,0
183,131591796875;	178,75;	0,0;	0,0
183,1746063232422;	175,5;	0,0;	0,0
183,21759033203125;	188,25;	0,0;	0,0
183,26058959960938;	190,0;	0,0;	0,0
183,30355834960938;	187,0;	0,0;	0,0
183,3465576171875;	171,75;	0,0;	0,0
183,3895263671875;	185,25;	0,0;	0,0
183,43251037597656;	193,5;	0,0;	0,0
183,4754638671875;	183,0;	0,0;	0,0
183,5184326171875;	186,5;	0,0;	0,0
183,56137084960938;	175,25;	0,0;	0,0
183,60433959960938;	181,5;	0,0;	0,0
183,64727783203125;	195,75;	0,0;	0,0
183,69020080566406;	177,5;	0,0;	0,0
183,733154296875;	175,75;	0,0;	0,0
183,77606201171875;	190,0;	0,0;	0,0
183,81900024414062;	185,75;	0,0;	0,0
183,86190795898438;	181,25;	0,0;	0,0
183,90481567382812;	174,75;	0,0;	0,0
183,94772338867188;	188,25;	0,0;	0,0
183,99061584472656;	186,0;	0,0;	0,0
184,03353881835938;	180,75;	0,0;	0,0
184,07640075683594;	191,5;	0,0;	0,0
184,11929321289062;	178,25;	0,0;	0,0
184,16217041015625;	168,5;	0,0;	0,0
184,20504760742188;	182,0;	0,0;	0,0
184,24789428710938;	192,25;	0,0;	0,0
184,290771484375;	185,25;	0,0;	0,0
184,3336181640625;	168,5;	0,0;	0,0
184,37648010253906;	183,25;	0,0;	0,0
184,4193115234375;	175,0;	0,0;	0,0
184,462158203125;	173,0;	0,0;	0,0
184,5050048828125;	171,0;	0,0;	0,0
184,54782104492188;	180,25;	0,0;	0,0
184,59066772460938;	174,5;	0,0;	0,0
184,6334686279297;	175,0;	0,0;	0,0
184,67628479003906;	171,5;	0,0;	0,0
184,7190704345703;	181,0;	0,0;	0,0
184,7618865966797;	180,5;	0,0;	0,0
184,8046875;	177,25;	0,0;	0,0
184,84747314453125;	184,0;	0,0;	0,0
184,89024353027344;	180,25;	0,0;	0,0
184,9330291748047;	185,5;	0,0;	0,0
184,97581481933594;	174,75;	0,0;	0,0
185,01856994628906;	175,0;	0,0;	0,0
185,0613555908203;	169,5;	0,0;	0,0
185,10409545898438;	190,5;	0,0;	0,0
185,1468505859375;	178,25;	0,0;	0,0
185,18959045410156;	194,75;	0,0;	0,0
185,2323455810547;	186,0;	0,0;	0,0
185,2750701904297;	175,25;	0,0;	0,0
185,3177947998047;	172,75;	0,0;	0,0
185,36053466796875;	180,5;	0,0;	0,0
185,4032440185547;	196,25;	0,0;	0,0
185,4459686279297;	179,5;	0,0;	0,0
185,48866271972656;	191,5;	0,0;	0,0
185,5313720703125;	183,25;	0,0;	0,0
185,5740509033203;	187,75;	0,0;	0,0
185,61676025390625;	169,0;	0,0;	0,0
185,65943908691406;	196,25;	0,0;	0,0
185,70211791992188;	183,25;	0,0;	0,0
185,74478149414062;	180,0;	0,0;	0,0
185,78746032714844;	195,75;	0,0;	0,0
185,83013916015625;	176,0;	0,0;	0,0
185,87278747558594;	186,0;	0,0;	0,0
185,9154510498047;	168,0;	0,0;	0,0
185,9580841064453;	179,5;	0,0;	0,0
186,00074768066406;	164,75;	0,0;	0,0
186,04336547851562;	182,5;	0,0;	0,0
186,0860137939453;	174,5;	0,0;	0,0
186,1286163330078;	189,5;	0,0;	0,0
186,17124938964844;	167,25;	0,0;	0,0
186,21385192871094;	178,75;	0,0;	0,0
186,2564697265625;	178,75;	0,0;	0,0
186,29908752441406;	172,25;	0,0;	0,0
186,3416748046875;	165,75;	0,0;	0,0
186,38426208496094;	198,5;	0,0;	0,0
186,42684936523438;	181,75;	0,0;	0,0
186,4694366455078;	172,75;	0,0;	0,0
186,5120086669922;	194,5;	0,0;	0,0
186,55458068847656;	166,25;	0,0;	0,0
186,59713745117188;	194,75;	0,0;	0,0
186,63970947265625;	174,25;	0,0;	0,0
186,6822509765625;	173,75;	0,0;	0,0
186,72479248046875;	175,25;	0,0;	0,0
186,76734924316406;	183,5;	0,0;	0,0
186,80987548828125;	184,75;	0,0;	0,0
186,8524169921875;	172,0;	0,0;	0,0
186,8949432373047;	192,25;	0,0;	0,0
186,9374542236328;	189,0;	0,0;	0,0
186,97996520996094;	176,25;	0,0;	0,0
187,02249145507812;	174,75;	0,0;	0,0
187,0649871826172;	176,5;	0,0;	0,0
