0.0	1.0
Integration time [ms]:	1.05
Averaging Nr. [scans]:1
Smoothing Nr. [pixels]:0
Data measured with spectrometer [name]:b'1703274U8'
Wave	;Sample	;Dark	;Reference	;Scope	
[nm]	;[counts]	;[counts]	;[counts]	
 
309,952880859375;	185,0;	0,0;	0,0
309,98712158203125;	311,5;	0,0;	0,0
310,0213928222656;	309,75;	0,0;	0,0
310,05560302734375;	264,5;	0,0;	0,0
310,0898132324219;	192,0;	0,0;	0,0
310,1240539550781;	129,5;	0,0;	0,0
310,15826416015625;	143,25;	0,0;	0,0
310,19244384765625;	126,75;	0,0;	0,0
310,2266845703125;	93,75;	0,0;	0,0
310,2608642578125;	114,5;	0,0;	0,0
310,2950439453125;	105,75;	0,0;	0,0
310,3292236328125;	115,5;	0,0;	0,0
310,3633728027344;	113,75;	0,0;	0,0
310,3975524902344;	113,25;	0,0;	0,0
310,43170166015625;	93,25;	0,0;	0,0
310,4658508300781;	102,25;	0,0;	0,0
310,5;	101,25;	0,0;	0,0
310,5341491699219;	84,25;	0,0;	0,0
310,5682678222656;	113,0;	0,0;	0,0
310,6023864746094;	104,5;	0,0;	0,0
310,6365051269531;	106,5;	0,0;	0,0
310,67059326171875;	100,5;	0,0;	0,0
310,7046813964844;	103,0;	0,0;	0,0
310,7388000488281;	110,0;	0,0;	0,0
310,77288818359375;	99,25;	0,0;	0,0
310,80694580078125;	107,25;	0,0;	0,0
310,8410339355469;	89,25;	0,0;	0,0
310,8750915527344;	126,5;	0,0;	0,0
310,9091491699219;	85,0;	0,0;	0,0
310,9432067871094;	96,0;	0,0;	0,0
310,9772644042969;	112,5;	0,0;	0,0
311,01129150390625;	119,0;	0,0;	0,0
311,0452880859375;	112,75;	0,0;	0,0
311,079345703125;	113,5;	0,0;	0,0
311,11334228515625;	121,5;	0,0;	0,0
311,1473388671875;	93,25;	0,0;	0,0
311,1813659667969;	109,0;	0,0;	0,0
311,2153625488281;	112,25;	0,0;	0,0
311,24932861328125;	88,75;	0,0;	0,0
311,2833251953125;	113,75;	0,0;	0,0
311,3172912597656;	126,5;	0,0;	0,0
311,35125732421875;	113,0;	0,0;	0,0
311,3852233886719;	117,0;	0,0;	0,0
311,419189453125;	111,25;	0,0;	0,0
311,453125;	125,25;	0,0;	0,0
311,487060546875;	123,25;	0,0;	0,0
311,5209655761719;	107,0;	0,0;	0,0
311,55487060546875;	112,5;	0,0;	0,0
311,58880615234375;	111,5;	0,0;	0,0
311,6227111816406;	133,0;	0,0;	0,0
