0.0	1.0
Integration time [ms]:	1.05
Averaging Nr. [scans]:1
Smoothing Nr. [pixels]:0
Data measured with spectrometer [name]:b'1703273U8'
Wave	;Sample	;Dark	;Reference	;Scope	
[nm]	;[counts]	;[counts]	;[counts]	
 
250,49510192871094;	153,75;	0,0;	0,0
250,5340576171875;	160,0;	0,0;	0,0
250,572998046875;	147,0;	0,0;	0,0
250,61192321777344;	157,5;	0,0;	0,0
250,65086364746094;	152,25;	0,0;	0,0
250,68978881835938;	139,75;	0,0;	0,0
250,7287139892578;	160,5;	0,0;	0,0
250,7676239013672;	157,5;	0,0;	0,0
250,80653381347656;	169,25;	0,0;	0,0
250,8454132080078;	150,5;	0,0;	0,0
250,8843231201172;	174,25;	0,0;	0,0
250,92320251464844;	160,75;	0,0;	0,0
250,96209716796875;	156,25;	0,0;	0,0
251,00096130371094;	193,0;	0,0;	0,0
251,0398406982422;	284,25;	0,0;	0,0
251,0786895751953;	264,0;	0,0;	0,0
251,1175537109375;	311,25;	0,0;	0,0
251,15640258789062;	360,0;	0,0;	0,0
251,19525146484375;	234,0;	0,0;	0,0
251,2340850830078;	199,5;	0,0;	0,0
251,2729034423828;	170,0;	0,0;	0,0
251,31173706054688;	200,0;	0,0;	0,0
251,35055541992188;	189,0;	0,0;	0,0
251,38937377929688;	283,5;	0,0;	0,0
251,4281768798828;	259,25;	0,0;	0,0
251,46697998046875;	211,5;	0,0;	0,0
251,50576782226562;	186,5;	0,0;	0,0
251,5445556640625;	248,0;	0,0;	0,0
251,58334350585938;	274,75;	0,0;	0,0
251,6221160888672;	238,0;	0,0;	0,0
251,660888671875;	275,25;	0,0;	0,0
251,6996612548828;	318,75;	0,0;	0,0
251,7384033203125;	412,0;	0,0;	0,0
251,7771453857422;	501,25;	0,0;	0,0
251,81590270996094;	348,0;	0,0;	0,0
251,85462951660156;	360,5;	0,0;	0,0
251,8933563232422;	327,25;	0,0;	0,0
251,93206787109375;	239,5;	0,0;	0,0
251,97079467773438;	204,5;	0,0;	0,0
252,00950622558594;	231,5;	0,0;	0,0
252,0482177734375;	307,75;	0,0;	0,0
252,0869140625;	364,0;	0,0;	0,0
252,1256103515625;	365,75;	0,0;	0,0
252,16429138183594;	421,75;	0,0;	0,0
252,20297241210938;	637,25;	0,0;	0,0
252,2416534423828;	1019,25;	0,0;	0,0
252,2803192138672;	680,5;	0,0;	0,0
252,31898498535156;	466,25;	0,0;	0,0
252,35765075683594;	482,75;	0,0;	0,0
252,3962860107422;	471,5;	0,0;	0,0
252,4349365234375;	464,5;	0,0;	0,0
252,4735565185547;	707,25;	0,0;	0,0
252,51219177246094;	779,5;	0,0;	0,0
252,5508270263672;	555,75;	0,0;	0,0
252,58944702148438;	693,75;	0,0;	0,0
252,62803649902344;	482,75;	0,0;	0,0
252,66665649414062;	603,0;	0,0;	0,0
252,70526123046875;	760,25;	0,0;	0,0
252,7438507080078;	461,75;	0,0;	0,0
252,78244018554688;	344,25;	0,0;	0,0
252,8209991455078;	471,75;	0,0;	0,0
252,8595733642578;	782,0;	0,0;	0,0
252,8981475830078;	1011,5;	0,0;	0,0
252,93670654296875;	744,25;	0,0;	0,0
252,97528076171875;	410,5;	0,0;	0,0
253,01382446289062;	290,75;	0,0;	0,0
253,05235290527344;	271,5;	0,0;	0,0
253,09088134765625;	252,25;	0,0;	0,0
253,12942504882812;	215,5;	0,0;	0,0
253,16795349121094;	245,75;	0,0;	0,0
253,2064666748047;	256,25;	0,0;	0,0
253,24497985839844;	333,75;	0,0;	0,0
253,28347778320312;	527,0;	0,0;	0,0
253,32196044921875;	780,25;	0,0;	0,0
253,36045837402344;	622,75;	0,0;	0,0
253,39895629882812;	643,5;	0,0;	0,0
253,43743896484375;	460,25;	0,0;	0,0
253,4759063720703;	447,5;	0,0;	0,0
253,5143585205078;	640,0;	0,0;	0,0
253,55282592773438;	477,25;	0,0;	0,0
253,59127807617188;	558,75;	0,0;	0,0
253,62974548339844;	929,5;	0,0;	0,0
253,66818237304688;	822,25;	0,0;	0,0
253,7065887451172;	492,0;	0,0;	0,0
253,74502563476562;	429,0;	0,0;	0,0
253,78346252441406;	664,25;	0,0;	0,0
253,82188415527344;	1054,25;	0,0;	0,0
253,8602752685547;	1220,5;	0,0;	0,0
253,89869689941406;	490,0;	0,0;	0,0
253,93707275390625;	320,0;	0,0;	0,0
253,9754638671875;	339,5;	0,0;	0,0
254,01385498046875;	539,5;	0,0;	0,0
254,05223083496094;	707,75;	0,0;	0,0
254,0906219482422;	539,5;	0,0;	0,0
254,1289520263672;	492,0;	0,0;	0,0
254,16732788085938;	585,75;	0,0;	0,0
254,2056884765625;	384,75;	0,0;	0,0
254,2440185546875;	369,25;	0,0;	0,0
254,28236389160156;	507,75;	0,0;	0,0
254,32070922851562;	558,5;	0,0;	0,0
254,3590087890625;	501,25;	0,0;	0,0
254,3973388671875;	382,75;	0,0;	0,0
254,4356689453125;	439,5;	0,0;	0,0
254,47396850585938;	499,25;	0,0;	0,0
254,5122833251953;	481,75;	0,0;	0,0
254,55056762695312;	558,0;	0,0;	0,0
254,58885192871094;	599,25;	0,0;	0,0
254,62713623046875;	507,75;	0,0;	0,0
254,6654052734375;	356,5;	0,0;	0,0
254,7036895751953;	322,25;	0,0;	0,0
254,741943359375;	307,5;	0,0;	0,0
254,7801971435547;	415,5;	0,0;	0,0
254,8184356689453;	575,75;	0,0;	0,0
254,856689453125;	659,25;	0,0;	0,0
254,8949432373047;	869,0;	0,0;	0,0
254,93316650390625;	788,75;	0,0;	0,0
254,97140502929688;	586,25;	0,0;	0,0
255,0095977783203;	464,75;	0,0;	0,0
255,04782104492188;	401,5;	0,0;	0,0
255,08602905273438;	263,5;	0,0;	0,0
255,12423706054688;	199,75;	0,0;	0,0
255,16241455078125;	194,5;	0,0;	0,0
255,20062255859375;	193,75;	0,0;	0,0
255,23878479003906;	216,75;	0,0;	0,0
255,27696228027344;	224,75;	0,0;	0,0
255,31512451171875;	185,75;	0,0;	0,0
255,35328674316406;	181,75;	0,0;	0,0
255,39144897460938;	200,25;	0,0;	0,0
255,42958068847656;	201,75;	0,0;	0,0
255,46774291992188;	269,75;	0,0;	0,0
255,50587463378906;	225,25;	0,0;	0,0
255,54400634765625;	196,75;	0,0;	0,0
255,58212280273438;	187,5;	0,0;	0,0
255,6202392578125;	200,75;	0,0;	0,0
255,65835571289062;	197,25;	0,0;	0,0
255,6964569091797;	198,0;	0,0;	0,0
255,7345428466797;	192,25;	0,0;	0,0
255,77264404296875;	187,75;	0,0;	0,0
255,81072998046875;	189,75;	0,0;	0,0
255,84881591796875;	183,0;	0,0;	0,0
255,8868865966797;	218,5;	0,0;	0,0
255,92494201660156;	277,0;	0,0;	0,0
255,96299743652344;	327,75;	0,0;	0,0
256,00103759765625;	305,75;	0,0;	0,0
256,0390930175781;	226,5;	0,0;	0,0
256,0771484375;	234,75;	0,0;	0,0
256,1152038574219;	329,5;	0,0;	0,0
256,1531982421875;	563,75;	0,0;	0,0
256,19122314453125;	1080,75;	0,0;	0,0
256,229248046875;	1197,25;	0,0;	0,0
256,2672424316406;	672,75;	0,0;	0,0
256,3052673339844;	878,75;	0,0;	0,0
256,3432312011719;	442,75;	0,0;	0,0
256,3812561035156;	204,75;	0,0;	0,0
256,4192199707031;	192,5;	0,0;	0,0
256,4571838378906;	187,25;	0,0;	0,0
256,49517822265625;	184,25;	0,0;	0,0
256,5331115722656;	207,25;	0,0;	0,0
256,57110595703125;	264,25;	0,0;	0,0
256,6090087890625;	413,25;	0,0;	0,0
256,64697265625;	536,0;	0,0;	0,0
256,6849060058594;	334,5;	0,0;	0,0
256,72283935546875;	207,5;	0,0;	0,0
256,76080322265625;	207,0;	0,0;	0,0
256,7986755371094;	267,0;	0,0;	0,0
256,83660888671875;	192,5;	0,0;	0,0
256,87451171875;	208,25;	0,0;	0,0
256,91241455078125;	214,75;	0,0;	0,0
256,9503173828125;	226,5;	0,0;	0,0
256,9881896972656;	284,5;	0,0;	0,0
257,02606201171875;	353,75;	0,0;	0,0
257,06396484375;	277,0;	0,0;	0,0
257,101806640625;	180,75;	0,0;	0,0
257,1396789550781;	184,75;	0,0;	0,0
257,1775207519531;	169,25;	0,0;	0,0
257,2153625488281;	190,75;	0,0;	0,0
257,2532043457031;	224,5;	0,0;	0,0
257,291015625;	232,25;	0,0;	0,0
257,3288879394531;	229,25;	0,0;	0,0
257,3666687011719;	355,0;	0,0;	0,0
257,404541015625;	496,75;	0,0;	0,0
257,44232177734375;	255,75;	0,0;	0,0
257,4801330566406;	245,5;	0,0;	0,0
257,5179138183594;	285,0;	0,0;	0,0
257,5556945800781;	481,0;	0,0;	0,0
257,593505859375;	457,75;	0,0;	0,0
257,6312561035156;	352,25;	0,0;	0,0
257,6690673828125;	356,75;	0,0;	0,0
257,7068176269531;	339,5;	0,0;	0,0
257,7445373535156;	503,0;	0,0;	0,0
257,7823181152344;	347,75;	0,0;	0,0
257,8200378417969;	201,0;	0,0;	0,0
257,8577880859375;	186,75;	0,0;	0,0
257,8955383300781;	209,25;	0,0;	0,0
257,9332275390625;	164,5;	0,0;	0,0
257,9709777832031;	170,75;	0,0;	0,0
258,0086975097656;	175,5;	0,0;	0,0
258,04638671875;	180,75;	0,0;	0,0
258,0840759277344;	207,5;	0,0;	0,0
258,1217956542969;	258,75;	0,0;	0,0
258,15948486328125;	342,25;	0,0;	0,0
258,1971435546875;	580,25;	0,0;	0,0
258,23486328125;	575,25;	0,0;	0,0
258,2724914550781;	249,25;	0,0;	0,0
258,3101806640625;	209,25;	0,0;	0,0
258,3478088378906;	232,0;	0,0;	0,0
258,3854675292969;	331,0;	0,0;	0,0
258,423095703125;	406,5;	0,0;	0,0
258,4607238769531;	413,5;	0,0;	0,0
258,49835205078125;	761,0;	0,0;	0,0
258,5360107421875;	1575,5;	0,0;	0,0
258,5736083984375;	1101,5;	0,0;	0,0
258,6112060546875;	319,75;	0,0;	0,0
258,6488037109375;	228,25;	0,0;	0,0
258,6864013671875;	226,0;	0,0;	0,0
258,7239990234375;	276,25;	0,0;	0,0
258,7615661621094;	407,25;	0,0;	0,0
258,7991638183594;	277,75;	0,0;	0,0
258,83673095703125;	212,0;	0,0;	0,0
258,8742980957031;	203,5;	0,0;	0,0
258,9118347167969;	178,5;	0,0;	0,0
258,9494323730469;	183,5;	0,0;	0,0
258,9869689941406;	202,25;	0,0;	0,0
259,02447509765625;	230,0;	0,0;	0,0
259,06201171875;	357,25;	0,0;	0,0
259,09954833984375;	623,75;	0,0;	0,0
259,1370544433594;	527,75;	0,0;	0,0
259,174560546875;	283,5;	0,0;	0,0
259,2120666503906;	420,5;	0,0;	0,0
259,24957275390625;	469,0;	0,0;	0,0
259,28704833984375;	351,25;	0,0;	0,0
259,3245544433594;	506,75;	0,0;	0,0
259,3620300292969;	369,75;	0,0;	0,0
259,3995361328125;	198,75;	0,0;	0,0
259,4369812011719;	188,0;	0,0;	0,0
259,47442626953125;	195,0;	0,0;	0,0
259,51190185546875;	196,25;	0,0;	0,0
259,5493469238281;	198,25;	0,0;	0,0
259,5867919921875;	211,75;	0,0;	0,0
259,62420654296875;	212,0;	0,0;	0,0
259,66162109375;	260,5;	0,0;	0,0
259,6990661621094;	352,0;	0,0;	0,0
259,7364807128906;	732,5;	0,0;	0,0
259,7738952636719;	1641,25;	0,0;	0,0
259,8113098144531;	2035,0;	0,0;	0,0
259,8486633300781;	1501,25;	0,0;	0,0
259,88604736328125;	2624,0;	0,0;	0,0
259,9234313964844;	2120,25;	0,0;	0,0
259,9608154296875;	580,0;	0,0;	0,0
259,9981994628906;	298,0;	0,0;	0,0
260,0355529785156;	231,5;	0,0;	0,0
260,0729064941406;	220,0;	0,0;	0,0
260,1102600097656;	204,0;	0,0;	0,0
260,1476135253906;	195,5;	0,0;	0,0
260,1849365234375;	174,0;	0,0;	0,0
260,2222595214844;	177,25;	0,0;	0,0
260,25958251953125;	196,0;	0,0;	0,0
260,2969055175781;	191,0;	0,0;	0,0
260,334228515625;	195,25;	0,0;	0,0
260,37152099609375;	188,5;	0,0;	0,0
260,4088439941406;	237,0;	0,0;	0,0
260,44610595703125;	280,5;	0,0;	0,0
260,4833679199219;	371,0;	0,0;	0,0
260,52069091796875;	462,0;	0,0;	0,0
260,5579528808594;	396,25;	0,0;	0,0
260,5952453613281;	546,0;	0,0;	0,0
260,6324462890625;	1111,75;	0,0;	0,0
260,66973876953125;	1851,0;	0,0;	0,0
260,70697021484375;	786,5;	0,0;	0,0
260,7441711425781;	275,5;	0,0;	0,0
260,78143310546875;	229,5;	0,0;	0,0
260,81866455078125;	243,75;	0,0;	0,0
260,85589599609375;	234,0;	0,0;	0,0
260,8930969238281;	265,75;	0,0;	0,0
260,9302978515625;	235,75;	0,0;	0,0
260,967529296875;	242,75;	0,0;	0,0
261,0046691894531;	275,75;	0,0;	0,0
261,0419006347656;	391,5;	0,0;	0,0
261,0790710449219;	651,25;	0,0;	0,0
261,1162109375;	1184,75;	0,0;	0,0
261,1534118652344;	1913,75;	0,0;	0,0
261,1905517578125;	716,25;	0,0;	0,0
261,22772216796875;	342,75;	0,0;	0,0
261,2648620605469;	384,0;	0,0;	0,0
261,3019714355469;	703,25;	0,0;	0,0
261,3391418457031;	1293,75;	0,0;	0,0
261,3762512207031;	666,0;	0,0;	0,0
261,41339111328125;	270,75;	0,0;	0,0
261,4504699707031;	207,0;	0,0;	0,0
261,48760986328125;	196,5;	0,0;	0,0
261,52471923828125;	194,25;	0,0;	0,0
261,5617980957031;	219,5;	0,0;	0,0
261,5989074707031;	204,25;	0,0;	0,0
261,6359558105469;	288,5;	0,0;	0,0
261,6730651855469;	506,25;	0,0;	0,0
261,7101135253906;	1056,5;	0,0;	0,0
261,7471618652344;	754,75;	0,0;	0,0
261,78424072265625;	321,0;	0,0;	0,0
261,8212585449219;	239,75;	0,0;	0,0
261,85833740234375;	288,5;	0,0;	0,0
261,8953552246094;	238,25;	0,0;	0,0
261,93243408203125;	213,75;	0,0;	0,0
261,96942138671875;	254,5;	0,0;	0,0
262,00640869140625;	334,75;	0,0;	0,0
262,04345703125;	317,75;	0,0;	0,0
262,0804443359375;	345,0;	0,0;	0,0
262,117431640625;	633,75;	0,0;	0,0
262,1544494628906;	453,75;	0,0;	0,0
262,19140625;	241,75;	0,0;	0,0
262,2283935546875;	223,25;	0,0;	0,0
262,265380859375;	231,0;	0,0;	0,0
262,3023376464844;	337,25;	0,0;	0,0
262,3392639160156;	290,25;	0,0;	0,0
262,376220703125;	237,25;	0,0;	0,0
262,4131774902344;	241,0;	0,0;	0,0
262,4501037597656;	413,0;	0,0;	0,0
262,487060546875;	803,0;	0,0;	0,0
262,52398681640625;	1499,0;	0,0;	0,0
262,5608825683594;	670,5;	0,0;	0,0
262,5978088378906;	277,5;	0,0;	0,0
262,6346740722656;	253,5;	0,0;	0,0
262,6716003417969;	261,5;	0,0;	0,0
262,70849609375;	316,5;	0,0;	0,0
262,7453918457031;	582,75;	0,0;	0,0
262,7822570800781;	1150,75;	0,0;	0,0
262,8191223144531;	752,25;	0,0;	0,0
262,8559875488281;	271,75;	0,0;	0,0
262,892822265625;	351,25;	0,0;	0,0
262,9296875;	459,75;	0,0;	0,0
262,966552734375;	485,75;	0,0;	0,0
263,0033874511719;	641,0;	0,0;	0,0
263,04022216796875;	1460,25;	0,0;	0,0
263,0770568847656;	2543,0;	0,0;	0,0
263,1138916015625;	1510,25;	0,0;	0,0
263,1506652832031;	518,75;	0,0;	0,0
263,1875;	294,5;	0,0;	0,0
263,2242736816406;	253,5;	0,0;	0,0
263,2610778808594;	203,5;	0,0;	0,0
263,2978820800781;	215,5;	0,0;	0,0
263,3346252441406;	170,75;	0,0;	0,0
263,3714294433594;	162,25;	0,0;	0,0
263,4081726074219;	169,25;	0,0;	0,0
263,4449462890625;	184,25;	0,0;	0,0
263,4817199707031;	183,75;	0,0;	0,0
263,5184326171875;	244,75;	0,0;	0,0
263,55517578125;	273,5;	0,0;	0,0
263,5918884277344;	184,5;	0,0;	0,0
263,62860107421875;	186,0;	0,0;	0,0
263,66534423828125;	196,75;	0,0;	0,0
263,7020568847656;	210,25;	0,0;	0,0
263,7388000488281;	218,25;	0,0;	0,0
263,7754821777344;	159,75;	0,0;	0,0
263,8121643066406;	177,5;	0,0;	0,0
263,8488464355469;	165,25;	0,0;	0,0
263,8855285644531;	183,0;	0,0;	0,0
263,9222106933594;	198,5;	0,0;	0,0
263,9588928222656;	167,25;	0,0;	0,0
263,99554443359375;	170,25;	0,0;	0,0
264,0321960449219;	164,0;	0,0;	0,0
264,0688171386719;	180,5;	0,0;	0,0
264,1054992675781;	202,75;	0,0;	0,0
264,14208984375;	215,5;	0,0;	0,0
264,1787414550781;	199,0;	0,0;	0,0
264,2153625488281;	161,0;	0,0;	0,0
264,251953125;	157,25;	0,0;	0,0
264,28857421875;	169,25;	0,0;	0,0
264,3251647949219;	199,25;	0,0;	0,0
264,36175537109375;	262,0;	0,0;	0,0
264,3983459472656;	207,5;	0,0;	0,0
264,4349365234375;	163,0;	0,0;	0,0
264,47149658203125;	184,5;	0,0;	0,0
264,5080871582031;	185,0;	0,0;	0,0
264,5446472167969;	182,5;	0,0;	0,0
264,5812072753906;	165,75;	0,0;	0,0
264,61773681640625;	171,0;	0,0;	0,0
264,654296875;	154,75;	0,0;	0,0
264,6907958984375;	183,0;	0,0;	0,0
264,72735595703125;	173,75;	0,0;	0,0
264,76385498046875;	174,75;	0,0;	0,0
264,8003845214844;	164,5;	0,0;	0,0
264,8368835449219;	165,25;	0,0;	0,0
264,8733825683594;	186,0;	0,0;	0,0
264,9098815917969;	178,25;	0,0;	0,0
264,94635009765625;	161,25;	0,0;	0,0
264,98284912109375;	186,25;	0,0;	0,0
265,0193176269531;	184,0;	0,0;	0,0
265,0558166503906;	189,0;	0,0;	0,0
265,0922546386719;	172,5;	0,0;	0,0
265,1286926269531;	170,5;	0,0;	0,0
265,1651611328125;	183,5;	0,0;	0,0
265,20159912109375;	168,0;	0,0;	0,0
265,238037109375;	159,5;	0,0;	0,0
265,27447509765625;	149,25;	0,0;	0,0
265,31085205078125;	172,25;	0,0;	0,0
265,3472900390625;	174,25;	0,0;	0,0
265,3836669921875;	145,5;	0,0;	0,0
265,42010498046875;	152,75;	0,0;	0,0
265,45648193359375;	177,5;	0,0;	0,0
265,49285888671875;	160,0;	0,0;	0,0
265,5292663574219;	169,0;	0,0;	0,0
265,56561279296875;	184,75;	0,0;	0,0
265,6020202636719;	177,25;	0,0;	0,0
265,63836669921875;	156,25;	0,0;	0,0
265,67474365234375;	171,0;	0,0;	0,0
265,7110595703125;	179,0;	0,0;	0,0
265,74737548828125;	176,75;	0,0;	0,0
265,7837219238281;	188,5;	0,0;	0,0
265,8200378417969;	183,5;	0,0;	0,0
265,85638427734375;	170,5;	0,0;	0,0
265,8927307128906;	154,0;	0,0;	0,0
265,92901611328125;	168,25;	0,0;	0,0
265,96533203125;	173,25;	0,0;	0,0
266,0016174316406;	189,25;	0,0;	0,0
266,03790283203125;	183,75;	0,0;	0,0
266,0741882324219;	185,0;	0,0;	0,0
266,1104431152344;	176,5;	0,0;	0,0
266,1466979980469;	184,0;	0,0;	0,0
266,1829528808594;	188,0;	0,0;	0,0
266,21923828125;	179,25;	0,0;	0,0
266,2554626464844;	183,0;	0,0;	0,0
266,2917175292969;	190,25;	0,0;	0,0
266,32794189453125;	194,0;	0,0;	0,0
266,3641662597656;	228,5;	0,0;	0,0
266,4004211425781;	404,5;	0,0;	0,0
266,4366149902344;	462,5;	0,0;	0,0
266,4728088378906;	239,0;	0,0;	0,0
266,5090026855469;	180,5;	0,0;	0,0
266,5451965332031;	216,25;	0,0;	0,0
266,5814208984375;	285,25;	0,0;	0,0
266,6175842285156;	484,25;	0,0;	0,0
266,65374755859375;	446,5;	0,0;	0,0
266,6899108886719;	192,25;	0,0;	0,0
266,7261047363281;	182,0;	0,0;	0,0
266,7622375488281;	171,0;	0,0;	0,0
266,7983703613281;	152,5;	0,0;	0,0
266,83453369140625;	179,25;	0,0;	0,0
