0.0	1.0
Integration time [ms]:	1.05
Averaging Nr. [scans]:1
Smoothing Nr. [pixels]:0
Data measured with spectrometer [name]:b'1703277U8'
Wave	;Sample	;Dark	;Reference	;Scope	
[nm]	;[counts]	;[counts]	;[counts]	
 
493,2108154296875;	465,5;	0,0;	0,0
493,2895202636719;	457,5;	0,0;	0,0
493,36822509765625;	354,0;	0,0;	0,0
493,4468994140625;	313,0;	0,0;	0,0
493,52557373046875;	324,0;	0,0;	0,0
493,6042175292969;	375,75;	0,0;	0,0
493,6828918457031;	491,75;	0,0;	0,0
493,7615051269531;	505,0;	0,0;	0,0
493,8401184082031;	383,5;	0,0;	0,0
493,9187316894531;	326,0;	0,0;	0,0
493,9973449707031;	315,25;	0,0;	0,0
494,075927734375;	320,25;	0,0;	0,0
494,1545104980469;	301,5;	0,0;	0,0
494,2330627441406;	302,25;	0,0;	0,0
494,3116149902344;	318,0;	0,0;	0,0
494,3901672363281;	332,0;	0,0;	0,0
494,4686584472656;	412,5;	0,0;	0,0
494,5472106933594;	393,75;	0,0;	0,0
494,6257019042969;	318,5;	0,0;	0,0
494,7041931152344;	332,0;	0,0;	0,0
494,78265380859375;	326,5;	0,0;	0,0
494,86114501953125;	356,75;	0,0;	0,0
494,9395751953125;	355,25;	0,0;	0,0
495,0180358886719;	321,25;	0,0;	0,0
495,096435546875;	360,5;	0,0;	0,0
495,1748962402344;	370,25;	0,0;	0,0
495,2532653808594;	372,25;	0,0;	0,0
495,3316650390625;	428,0;	0,0;	0,0
495,4100341796875;	620,0;	0,0;	0,0
495,4884338378906;	1581,75;	0,0;	0,0
495,5667724609375;	4642,5;	0,0;	0,0
495,6451110839844;	4984,0;	0,0;	0,0
495,72344970703125;	1150,5;	0,0;	0,0
495,8017883300781;	513,0;	0,0;	0,0
495,8800964355469;	398,25;	0,0;	0,0
495,9583435058594;	343,75;	0,0;	0,0
496,0366516113281;	371,5;	0,0;	0,0
496,11492919921875;	354,25;	0,0;	0,0
496,19317626953125;	352,0;	0,0;	0,0
496,27142333984375;	367,0;	0,0;	0,0
496,34967041015625;	395,25;	0,0;	0,0
496,4278869628906;	552,25;	0,0;	0,0
496,506103515625;	512,5;	0,0;	0,0
496,58428955078125;	420,5;	0,0;	0,0
496,6625061035156;	410,5;	0,0;	0,0
496,74066162109375;	389,0;	0,0;	0,0
496,8188171386719;	411,5;	0,0;	0,0
496,89697265625;	432,75;	0,0;	0,0
496,9751281738281;	360,75;	0,0;	0,0
497,0532531738281;	378,25;	0,0;	0,0
497,1313171386719;	440,5;	0,0;	0,0
497,2094421386719;	409,25;	0,0;	0,0
497,28753662109375;	362,25;	0,0;	0,0
497,3656005859375;	331,75;	0,0;	0,0
497,44366455078125;	356,5;	0,0;	0,0
497,521728515625;	391,25;	0,0;	0,0
497,59979248046875;	402,5;	0,0;	0,0
497,67779541015625;	429,5;	0,0;	0,0
497,7558288574219;	425,25;	0,0;	0,0
497,83380126953125;	432,75;	0,0;	0,0
497,91180419921875;	446,0;	0,0;	0,0
497,9897766113281;	519,25;	0,0;	0,0
498,0677490234375;	794,75;	0,0;	0,0
498,1457214355469;	997,5;	0,0;	0,0
498,2236633300781;	891,25;	0,0;	0,0
498,30157470703125;	761,0;	0,0;	0,0
498,3794860839844;	779,0;	0,0;	0,0
498,4573974609375;	603,25;	0,0;	0,0
498,5353088378906;	410,75;	0,0;	0,0
498,6131896972656;	403,5;	0,0;	0,0
498,6910705566406;	410,0;	0,0;	0,0
498,7688903808594;	426,0;	0,0;	0,0
498,84674072265625;	422,5;	0,0;	0,0
498,924560546875;	444,25;	0,0;	0,0
499,0024108886719;	424,75;	0,0;	0,0
499,0802307128906;	382,5;	0,0;	0,0
499,1579895019531;	406,0;	0,0;	0,0
499,23577880859375;	444,75;	0,0;	0,0
499,3135681152344;	416,5;	0,0;	0,0
499,3913269042969;	327,75;	0,0;	0,0
499,4690856933594;	334,75;	0,0;	0,0
499,5467834472656;	356,5;	0,0;	0,0
499,6245422363281;	355,25;	0,0;	0,0
499,7022399902344;	344,75;	0,0;	0,0
499,7799377441406;	375,75;	0,0;	0,0
499,8576354980469;	401,25;	0,0;	0,0
499,935302734375;	527,75;	0,0;	0,0
500,0129699707031;	868,0;	0,0;	0,0
500,090576171875;	805,25;	0,0;	0,0
500,1682434082031;	468,75;	0,0;	0,0
500,2458801269531;	447,0;	0,0;	0,0
500,323486328125;	611,25;	0,0;	0,0
500,40106201171875;	1199,5;	0,0;	0,0
500,47869873046875;	1413,0;	0,0;	0,0
500,5562744140625;	661,75;	0,0;	0,0
500,6337890625;	519,5;	0,0;	0,0
500,71136474609375;	406,0;	0,0;	0,0
500,7889099121094;	382,75;	0,0;	0,0
500,8664245605469;	374,5;	0,0;	0,0
500,9439392089844;	435,75;	0,0;	0,0
