-0.5	1.0
Integration time [ms]:	1.05
Averaging Nr. [scans]:1
Smoothing Nr. [pixels]:0
Data measured with spectrometer [name]:b'1703279U8'
Wave	;Sample	;Dark	;Reference	;Scope	
[nm]	;[counts]	;[counts]	;[counts]	
 
725,3621826171875;	372,75;	0,0;	0,0
725,4813842773438;	312,0;	0,0;	0,0
725,6005249023438;	338,75;	0,0;	0,0
725,7197265625;	333,25;	0,0;	0,0
725,8388671875;	343,75;	0,0;	0,0
725,9579467773438;	340,75;	0,0;	0,0
726,0770874023438;	371,5;	0,0;	0,0
726,1961669921875;	330,75;	0,0;	0,0
726,315185546875;	351,5;	0,0;	0,0
726,4342651367188;	333,75;	0,0;	0,0
726,5532836914062;	349,25;	0,0;	0,0
726,6723022460938;	336,25;	0,0;	0,0
726,7913208007812;	327,75;	0,0;	0,0
726,9102783203125;	349,25;	0,0;	0,0
727,0292358398438;	369,25;	0,0;	0,0
727,148193359375;	352,0;	0,0;	0,0
727,26708984375;	341,5;	0,0;	0,0
727,385986328125;	337,25;	0,0;	0,0
727,5048828125;	378,5;	0,0;	0,0
727,6237182617188;	346,5;	0,0;	0,0
727,7426147460938;	360,5;	0,0;	0,0
727,8614501953125;	349,25;	0,0;	0,0
727,9801635742188;	380,5;	0,0;	0,0
728,0989379882812;	369,25;	0,0;	0,0
728,2177124023438;	363,75;	0,0;	0,0
728,3364868164062;	360,25;	0,0;	0,0
728,4552612304688;	378,0;	0,0;	0,0
728,573974609375;	343,75;	0,0;	0,0
728,6926879882812;	338,0;	0,0;	0,0
728,8113403320312;	368,75;	0,0;	0,0
728,9299926757812;	331,5;	0,0;	0,0
729,0486450195312;	355,5;	0,0;	0,0
729,1672973632812;	406,25;	0,0;	0,0
729,285888671875;	370,0;	0,0;	0,0
729,4044799804688;	357,75;	0,0;	0,0
729,5230712890625;	382,75;	0,0;	0,0
729,6416625976562;	339,75;	0,0;	0,0
729,7601928710938;	387,0;	0,0;	0,0
729,8787231445312;	353,0;	0,0;	0,0
729,9971313476562;	340,75;	0,0;	0,0
730,1156005859375;	352,25;	0,0;	0,0
730,2340698242188;	347,75;	0,0;	0,0
730,3525390625;	355,0;	0,0;	0,0
730,470947265625;	342,0;	0,0;	0,0
730,58935546875;	356,75;	0,0;	0,0
730,707763671875;	371,0;	0,0;	0,0
730,826171875;	384,25;	0,0;	0,0
730,9445190429688;	372,0;	0,0;	0,0
731,0628662109375;	372,5;	0,0;	0,0
731,18115234375;	370,75;	0,0;	0,0
731,2994995117188;	352,5;	0,0;	0,0
731,4177856445312;	352,0;	0,0;	0,0
731,5360107421875;	383,5;	0,0;	0,0
731,654296875;	356,25;	0,0;	0,0
731,7725219726562;	368,25;	0,0;	0,0
731,8906860351562;	382,25;	0,0;	0,0
732,0088500976562;	384,5;	0,0;	0,0
732,1270141601562;	382,25;	0,0;	0,0
732,2451782226562;	346,0;	0,0;	0,0
732,3633422851562;	375,0;	0,0;	0,0
732,4814453125;	426,0;	0,0;	0,0
732,5995483398438;	406,75;	0,0;	0,0
732,7176513671875;	325,5;	0,0;	0,0
732,8357543945312;	350,0;	0,0;	0,0
732,9537963867188;	345,0;	0,0;	0,0
733,07177734375;	375,5;	0,0;	0,0
733,189697265625;	390,75;	0,0;	0,0
733,3076782226562;	367,75;	0,0;	0,0
733,4256591796875;	364,5;	0,0;	0,0
733,5436401367188;	374,0;	0,0;	0,0
733,6615600585938;	381,25;	0,0;	0,0
733,7794799804688;	335,25;	0,0;	0,0
733,8973999023438;	361,25;	0,0;	0,0
734,0152587890625;	379,25;	0,0;	0,0
734,1331176757812;	346,5;	0,0;	0,0
734,2509765625;	387,0;	0,0;	0,0
734,3687744140625;	380,5;	0,0;	0,0
734,486572265625;	353,0;	0,0;	0,0
734,6043701171875;	373,0;	0,0;	0,0
734,72216796875;	376,75;	0,0;	0,0
734,8399047851562;	340,5;	0,0;	0,0
734,9576416015625;	405,25;	0,0;	0,0
735,0753173828125;	361,5;	0,0;	0,0
735,1930541992188;	385,0;	0,0;	0,0
735,3107299804688;	370,25;	0,0;	0,0
735,4283447265625;	362,75;	0,0;	0,0
735,5460205078125;	346,0;	0,0;	0,0
735,6636352539062;	375,75;	0,0;	0,0
735,78125;	353,0;	0,0;	0,0
735,8988647460938;	388,0;	0,0;	0,0
736,016357421875;	349,75;	0,0;	0,0
736,1339111328125;	376,0;	0,0;	0,0
736,25146484375;	386,25;	0,0;	0,0
736,3690185546875;	374,0;	0,0;	0,0
736,4864501953125;	389,5;	0,0;	0,0
736,6039428710938;	378,75;	0,0;	0,0
736,7213745117188;	355,0;	0,0;	0,0
736,8388671875;	356,5;	0,0;	0,0
736,9562377929688;	349,0;	0,0;	0,0
737,0736083984375;	375,25;	0,0;	0,0
737,1910400390625;	366,75;	0,0;	0,0
737,3084106445312;	384,5;	0,0;	0,0
737,4257202148438;	399,25;	0,0;	0,0
737,5430297851562;	369,5;	0,0;	0,0
737,660400390625;	371,5;	0,0;	0,0
737,7776489257812;	400,25;	0,0;	0,0
737,8948974609375;	364,75;	0,0;	0,0
738,01220703125;	362,5;	0,0;	0,0
738,1294555664062;	393,75;	0,0;	0,0
738,24658203125;	382,25;	0,0;	0,0
738,36376953125;	418,0;	0,0;	0,0
738,48095703125;	380,75;	0,0;	0,0
738,5980834960938;	404,75;	0,0;	0,0
738,7152709960938;	387,75;	0,0;	0,0
738,8323974609375;	421,5;	0,0;	0,0
738,949462890625;	416,0;	0,0;	0,0
739,0665893554688;	406,25;	0,0;	0,0
739,18359375;	365,25;	0,0;	0,0
739,3006591796875;	366,75;	0,0;	0,0
739,417724609375;	371,75;	0,0;	0,0
739,53466796875;	377,0;	0,0;	0,0
739,6517333984375;	397,5;	0,0;	0,0
739,7686767578125;	383,5;	0,0;	0,0
739,8856201171875;	366,25;	0,0;	0,0
740,0025634765625;	366,75;	0,0;	0,0
740,1195068359375;	356,5;	0,0;	0,0
740,2363891601562;	377,75;	0,0;	0,0
740,353271484375;	365,75;	0,0;	0,0
740,4701538085938;	383,5;	0,0;	0,0
740,5869750976562;	380,75;	0,0;	0,0
740,7037963867188;	385,5;	0,0;	0,0
740,8206176757812;	390,25;	0,0;	0,0
740,9373779296875;	416,25;	0,0;	0,0
741,05419921875;	458,75;	0,0;	0,0
741,1708984375;	378,25;	0,0;	0,0
741,2876586914062;	402,0;	0,0;	0,0
741,4043579101562;	382,5;	0,0;	0,0
741,5211181640625;	376,0;	0,0;	0,0
741,6377563476562;	394,25;	0,0;	0,0
741,7544555664062;	404,0;	0,0;	0,0
741,8710327148438;	417,0;	0,0;	0,0
741,9876098632812;	457,25;	0,0;	0,0
742,104248046875;	522,5;	0,0;	0,0
742,2208251953125;	788,5;	0,0;	0,0
742,33740234375;	1013,5;	0,0;	0,0
742,4539794921875;	657,5;	0,0;	0,0
742,5704956054688;	447,5;	0,0;	0,0
742,68701171875;	433,75;	0,0;	0,0
742,8035278320312;	398,25;	0,0;	0,0
742,9199829101562;	375,75;	0,0;	0,0
743,036376953125;	416,75;	0,0;	0,0
743,1528930664062;	388,75;	0,0;	0,0
743,2692260742188;	402,25;	0,0;	0,0
743,3856201171875;	404,0;	0,0;	0,0
743,5020141601562;	443,25;	0,0;	0,0
743,6183471679688;	425,25;	0,0;	0,0
743,7346801757812;	447,75;	0,0;	0,0
743,8510131835938;	492,5;	0,0;	0,0
743,9673461914062;	636,5;	0,0;	0,0
744,0835571289062;	1116,5;	0,0;	0,0
744,1998901367188;	1619,5;	0,0;	0,0
744,3161010742188;	1090,25;	0,0;	0,0
744,4323120117188;	705,75;	0,0;	0,0
744,548583984375;	573,75;	0,0;	0,0
744,664794921875;	459,25;	0,0;	0,0
744,7809448242188;	394,25;	0,0;	0,0
