-0.5	1.0
Integration time [ms]:	1.05
Averaging Nr. [scans]:1
Smoothing Nr. [pixels]:0
Data measured with spectrometer [name]:b'1703273U8'
Wave	;Sample	;Dark	;Reference	;Scope	
[nm]	;[counts]	;[counts]	;[counts]	
 
250,49510192871094;	149,75;	0,0;	0,0
250,5340576171875;	146,0;	0,0;	0,0
250,572998046875;	143,0;	0,0;	0,0
250,61192321777344;	141,25;	0,0;	0,0
250,65086364746094;	138,75;	0,0;	0,0
250,68978881835938;	154,25;	0,0;	0,0
250,7287139892578;	141,0;	0,0;	0,0
250,7676239013672;	142,5;	0,0;	0,0
250,80653381347656;	141,0;	0,0;	0,0
250,8454132080078;	163,25;	0,0;	0,0
250,8843231201172;	151,5;	0,0;	0,0
250,92320251464844;	157,5;	0,0;	0,0
250,96209716796875;	167,25;	0,0;	0,0
251,00096130371094;	159,0;	0,0;	0,0
251,0398406982422;	264,5;	0,0;	0,0
251,0786895751953;	239,25;	0,0;	0,0
251,1175537109375;	295,75;	0,0;	0,0
251,15640258789062;	380,5;	0,0;	0,0
251,19525146484375;	225,0;	0,0;	0,0
251,2340850830078;	181,75;	0,0;	0,0
251,2729034423828;	168,5;	0,0;	0,0
251,31173706054688;	175,25;	0,0;	0,0
251,35055541992188;	187,25;	0,0;	0,0
251,38937377929688;	258,0;	0,0;	0,0
251,4281768798828;	257,25;	0,0;	0,0
251,46697998046875;	212,25;	0,0;	0,0
251,50576782226562;	187,0;	0,0;	0,0
251,5445556640625;	205,5;	0,0;	0,0
251,58334350585938;	210,5;	0,0;	0,0
251,6221160888672;	190,5;	0,0;	0,0
251,660888671875;	256,5;	0,0;	0,0
251,6996612548828;	281,5;	0,0;	0,0
251,7384033203125;	385,75;	0,0;	0,0
251,7771453857422;	486,25;	0,0;	0,0
251,81590270996094;	311,75;	0,0;	0,0
251,85462951660156;	343,25;	0,0;	0,0
251,8933563232422;	293,75;	0,0;	0,0
251,93206787109375;	235,75;	0,0;	0,0
251,97079467773438;	204,0;	0,0;	0,0
252,00950622558594;	236,75;	0,0;	0,0
252,0482177734375;	276,5;	0,0;	0,0
252,0869140625;	334,75;	0,0;	0,0
252,1256103515625;	372,75;	0,0;	0,0
252,16429138183594;	420,5;	0,0;	0,0
252,20297241210938;	632,25;	0,0;	0,0
252,2416534423828;	1038,25;	0,0;	0,0
252,2803192138672;	646,75;	0,0;	0,0
252,31898498535156;	438,75;	0,0;	0,0
252,35765075683594;	427,75;	0,0;	0,0
252,3962860107422;	473,0;	0,0;	0,0
252,4349365234375;	444,0;	0,0;	0,0
252,4735565185547;	702,25;	0,0;	0,0
252,51219177246094;	773,75;	0,0;	0,0
252,5508270263672;	548,75;	0,0;	0,0
252,58944702148438;	689,5;	0,0;	0,0
252,62803649902344;	435,0;	0,0;	0,0
252,66665649414062;	588,5;	0,0;	0,0
252,70526123046875;	719,25;	0,0;	0,0
252,7438507080078;	449,25;	0,0;	0,0
252,78244018554688;	315,75;	0,0;	0,0
252,8209991455078;	430,5;	0,0;	0,0
252,8595733642578;	743,75;	0,0;	0,0
252,8981475830078;	1039,5;	0,0;	0,0
252,93670654296875;	751,0;	0,0;	0,0
252,97528076171875;	438,75;	0,0;	0,0
253,01382446289062;	289,75;	0,0;	0,0
253,05235290527344;	254,25;	0,0;	0,0
253,09088134765625;	214,25;	0,0;	0,0
253,12942504882812;	204,5;	0,0;	0,0
253,16795349121094;	234,25;	0,0;	0,0
253,2064666748047;	265,25;	0,0;	0,0
253,24497985839844;	299,0;	0,0;	0,0
253,28347778320312;	489,0;	0,0;	0,0
253,32196044921875;	718,25;	0,0;	0,0
253,36045837402344;	620,0;	0,0;	0,0
253,39895629882812;	594,0;	0,0;	0,0
253,43743896484375;	421,0;	0,0;	0,0
253,4759063720703;	451,0;	0,0;	0,0
253,5143585205078;	640,5;	0,0;	0,0
253,55282592773438;	446,0;	0,0;	0,0
253,59127807617188;	552,5;	0,0;	0,0
253,62974548339844;	1003,5;	0,0;	0,0
253,66818237304688;	798,0;	0,0;	0,0
253,7065887451172;	442,25;	0,0;	0,0
