-0.5	0.0
Integration time [ms]:	1.05
Averaging Nr. [scans]:1
Smoothing Nr. [pixels]:0
Data measured with spectrometer [name]:b'1703277U8'
Wave	;Sample	;Dark	;Reference	;Scope	
[nm]	;[counts]	;[counts]	;[counts]	
 
493,2108154296875;	500,5;	0,0;	0,0
493,2895202636719;	403,0;	0,0;	0,0
493,36822509765625;	341,0;	0,0;	0,0
493,4468994140625;	320,75;	0,0;	0,0
493,52557373046875;	315,5;	0,0;	0,0
493,6042175292969;	366,25;	0,0;	0,0
493,6828918457031;	465,0;	0,0;	0,0
493,7615051269531;	545,0;	0,0;	0,0
493,8401184082031;	402,75;	0,0;	0,0
493,9187316894531;	329,75;	0,0;	0,0
493,9973449707031;	295,0;	0,0;	0,0
494,075927734375;	302,5;	0,0;	0,0
494,1545104980469;	316,5;	0,0;	0,0
494,2330627441406;	284,75;	0,0;	0,0
494,3116149902344;	344,25;	0,0;	0,0
494,3901672363281;	347,0;	0,0;	0,0
494,4686584472656;	399,75;	0,0;	0,0
494,5472106933594;	358,25;	0,0;	0,0
494,6257019042969;	316,25;	0,0;	0,0
494,7041931152344;	301,0;	0,0;	0,0
494,78265380859375;	339,0;	0,0;	0,0
494,86114501953125;	333,75;	0,0;	0,0
494,9395751953125;	338,0;	0,0;	0,0
495,0180358886719;	316,0;	0,0;	0,0
495,096435546875;	365,5;	0,0;	0,0
495,1748962402344;	369,5;	0,0;	0,0
495,2532653808594;	363,25;	0,0;	0,0
495,3316650390625;	446,5;	0,0;	0,0
495,4100341796875;	654,0;	0,0;	0,0
495,4884338378906;	1764,25;	0,0;	0,0
495,5667724609375;	5004,25;	0,0;	0,0
495,6451110839844;	5159,0;	0,0;	0,0
495,72344970703125;	1136,75;	0,0;	0,0
495,8017883300781;	479,5;	0,0;	0,0
495,8800964355469;	352,5;	0,0;	0,0
495,9583435058594;	365,0;	0,0;	0,0
496,0366516113281;	361,0;	0,0;	0,0
496,11492919921875;	359,25;	0,0;	0,0
496,19317626953125;	336,75;	0,0;	0,0
496,27142333984375;	342,75;	0,0;	0,0
496,34967041015625;	399,5;	0,0;	0,0
496,4278869628906;	579,0;	0,0;	0,0
496,506103515625;	545,5;	0,0;	0,0
496,58428955078125;	445,25;	0,0;	0,0
496,6625061035156;	414,75;	0,0;	0,0
496,74066162109375;	398,75;	0,0;	0,0
496,8188171386719;	394,5;	0,0;	0,0
496,89697265625;	409,25;	0,0;	0,0
496,9751281738281;	392,5;	0,0;	0,0
497,0532531738281;	346,75;	0,0;	0,0
497,1313171386719;	408,25;	0,0;	0,0
497,2094421386719;	398,75;	0,0;	0,0
497,28753662109375;	360,0;	0,0;	0,0
497,3656005859375;	341,75;	0,0;	0,0
497,44366455078125;	356,25;	0,0;	0,0
497,521728515625;	362,0;	0,0;	0,0
497,59979248046875;	379,25;	0,0;	0,0
497,67779541015625;	474,0;	0,0;	0,0
497,7558288574219;	499,25;	0,0;	0,0
497,83380126953125;	386,0;	0,0;	0,0
497,91180419921875;	462,0;	0,0;	0,0
497,9897766113281;	606,0;	0,0;	0,0
498,0677490234375;	875,0;	0,0;	0,0
498,1457214355469;	1058,0;	0,0;	0,0
498,2236633300781;	940,5;	0,0;	0,0
498,30157470703125;	752,0;	0,0;	0,0
498,3794860839844;	784,0;	0,0;	0,0
498,4573974609375;	583,5;	0,0;	0,0
498,5353088378906;	404,0;	0,0;	0,0
498,6131896972656;	364,25;	0,0;	0,0
498,6910705566406;	431,5;	0,0;	0,0
498,7688903808594;	452,5;	0,0;	0,0
498,84674072265625;	422,75;	0,0;	0,0
498,924560546875;	497,5;	0,0;	0,0
499,0024108886719;	481,0;	0,0;	0,0
499,0802307128906;	386,25;	0,0;	0,0
499,1579895019531;	406,25;	0,0;	0,0
499,23577880859375;	484,75;	0,0;	0,0
499,3135681152344;	443,25;	0,0;	0,0
499,3913269042969;	346,5;	0,0;	0,0
499,4690856933594;	315,5;	0,0;	0,0
499,5467834472656;	357,5;	0,0;	0,0
499,6245422363281;	357,75;	0,0;	0,0
499,7022399902344;	392,5;	0,0;	0,0
499,7799377441406;	436,75;	0,0;	0,0
499,8576354980469;	430,75;	0,0;	0,0
499,935302734375;	526,25;	0,0;	0,0
500,0129699707031;	882,75;	0,0;	0,0
500,090576171875;	819,75;	0,0;	0,0
500,1682434082031;	499,75;	0,0;	0,0
500,2458801269531;	465,75;	0,0;	0,0
500,323486328125;	654,5;	0,0;	0,0
500,40106201171875;	1280,75;	0,0;	0,0
500,47869873046875;	1552,25;	0,0;	0,0
500,5562744140625;	775,25;	0,0;	0,0
500,6337890625;	508,75;	0,0;	0,0
500,71136474609375;	413,25;	0,0;	0,0
500,7889099121094;	409,25;	0,0;	0,0
500,8664245605469;	370,0;	0,0;	0,0
500,9439392089844;	446,0;	0,0;	0,0
501,02142333984375;	735,75;	0,0;	0,0
501,09893798828125;	729,0;	0,0;	0,0
501,1764221191406;	451,5;	0,0;	0,0
501,25384521484375;	525,0;	0,0;	0,0
