-0.5	0.0
Integration time [ms]:	1.05
Averaging Nr. [scans]:1
Smoothing Nr. [pixels]:0
Data measured with spectrometer [name]:b'1703279U8'
Wave	;Sample	;Dark	;Reference	;Scope	
[nm]	;[counts]	;[counts]	;[counts]	
 
725,3621826171875;	354,0;	0,0;	0,0
725,4813842773438;	381,0;	0,0;	0,0
725,6005249023438;	360,75;	0,0;	0,0
725,7197265625;	344,75;	0,0;	0,0
725,8388671875;	383,5;	0,0;	0,0
725,9579467773438;	386,0;	0,0;	0,0
726,0770874023438;	362,0;	0,0;	0,0
726,1961669921875;	366,25;	0,0;	0,0
726,315185546875;	368,75;	0,0;	0,0
726,4342651367188;	353,75;	0,0;	0,0
726,5532836914062;	374,0;	0,0;	0,0
726,6723022460938;	388,0;	0,0;	0,0
726,7913208007812;	390,5;	0,0;	0,0
726,9102783203125;	368,25;	0,0;	0,0
727,0292358398438;	370,25;	0,0;	0,0
727,148193359375;	395,0;	0,0;	0,0
727,26708984375;	409,0;	0,0;	0,0
727,385986328125;	369,75;	0,0;	0,0
727,5048828125;	404,5;	0,0;	0,0
727,6237182617188;	392,5;	0,0;	0,0
727,7426147460938;	397,0;	0,0;	0,0
727,8614501953125;	394,5;	0,0;	0,0
727,9801635742188;	383,25;	0,0;	0,0
728,0989379882812;	406,25;	0,0;	0,0
728,2177124023438;	378,25;	0,0;	0,0
728,3364868164062;	407,0;	0,0;	0,0
728,4552612304688;	384,25;	0,0;	0,0
728,573974609375;	367,0;	0,0;	0,0
728,6926879882812;	394,0;	0,0;	0,0
728,8113403320312;	397,0;	0,0;	0,0
728,9299926757812;	378,0;	0,0;	0,0
729,0486450195312;	379,0;	0,0;	0,0
729,1672973632812;	408,5;	0,0;	0,0
729,285888671875;	439,0;	0,0;	0,0
729,4044799804688;	399,5;	0,0;	0,0
729,5230712890625;	395,5;	0,0;	0,0
729,6416625976562;	382,5;	0,0;	0,0
729,7601928710938;	349,25;	0,0;	0,0
729,8787231445312;	359,5;	0,0;	0,0
729,9971313476562;	374,25;	0,0;	0,0
730,1156005859375;	367,25;	0,0;	0,0
730,2340698242188;	385,25;	0,0;	0,0
730,3525390625;	403,0;	0,0;	0,0
730,470947265625;	380,75;	0,0;	0,0
730,58935546875;	392,0;	0,0;	0,0
730,707763671875;	364,5;	0,0;	0,0
730,826171875;	364,0;	0,0;	0,0
730,9445190429688;	411,5;	0,0;	0,0
731,0628662109375;	413,75;	0,0;	0,0
731,18115234375;	387,5;	0,0;	0,0
731,2994995117188;	401,75;	0,0;	0,0
731,4177856445312;	379,5;	0,0;	0,0
731,5360107421875;	394,75;	0,0;	0,0
731,654296875;	387,75;	0,0;	0,0
731,7725219726562;	381,25;	0,0;	0,0
731,8906860351562;	416,75;	0,0;	0,0
732,0088500976562;	408,25;	0,0;	0,0
732,1270141601562;	399,75;	0,0;	0,0
732,2451782226562;	372,25;	0,0;	0,0
732,3633422851562;	410,0;	0,0;	0,0
732,4814453125;	434,75;	0,0;	0,0
732,5995483398438;	451,0;	0,0;	0,0
732,7176513671875;	396,75;	0,0;	0,0
732,8357543945312;	380,0;	0,0;	0,0
732,9537963867188;	375,5;	0,0;	0,0
733,07177734375;	388,25;	0,0;	0,0
733,189697265625;	385,5;	0,0;	0,0
733,3076782226562;	390,25;	0,0;	0,0
733,4256591796875;	397,0;	0,0;	0,0
733,5436401367188;	391,25;	0,0;	0,0
733,6615600585938;	403,5;	0,0;	0,0
733,7794799804688;	396,25;	0,0;	0,0
733,8973999023438;	392,5;	0,0;	0,0
734,0152587890625;	383,5;	0,0;	0,0
734,1331176757812;	423,5;	0,0;	0,0
734,2509765625;	429,75;	0,0;	0,0
734,3687744140625;	398,0;	0,0;	0,0
