-0.5	0.0
Integration time [ms]:	1.05
Averaging Nr. [scans]:1
Smoothing Nr. [pixels]:0
Data measured with spectrometer [name]:b'1703274U8'
Wave	;Sample	;Dark	;Reference	;Scope	
[nm]	;[counts]	;[counts]	;[counts]	
 
309,952880859375;	167,75;	0,0;	0,0
309,98712158203125;	321,5;	0,0;	0,0
310,0213928222656;	366,25;	0,0;	0,0
310,05560302734375;	321,75;	0,0;	0,0
310,0898132324219;	217,25;	0,0;	0,0
310,1240539550781;	119,75;	0,0;	0,0
310,15826416015625;	118,25;	0,0;	0,0
310,19244384765625;	108,5;	0,0;	0,0
310,2266845703125;	105,25;	0,0;	0,0
310,2608642578125;	116,0;	0,0;	0,0
310,2950439453125;	118,75;	0,0;	0,0
310,3292236328125;	117,0;	0,0;	0,0
310,3633728027344;	118,25;	0,0;	0,0
310,3975524902344;	98,5;	0,0;	0,0
310,43170166015625;	120,0;	0,0;	0,0
310,4658508300781;	119,75;	0,0;	0,0
310,5;	106,5;	0,0;	0,0
310,5341491699219;	101,0;	0,0;	0,0
310,5682678222656;	116,75;	0,0;	0,0
310,6023864746094;	116,5;	0,0;	0,0
310,6365051269531;	110,75;	0,0;	0,0
310,67059326171875;	101,25;	0,0;	0,0
310,7046813964844;	100,5;	0,0;	0,0
310,7388000488281;	116,75;	0,0;	0,0
310,77288818359375;	107,25;	0,0;	0,0
310,80694580078125;	95,75;	0,0;	0,0
310,8410339355469;	103,0;	0,0;	0,0
310,8750915527344;	135,25;	0,0;	0,0
310,9091491699219;	98,25;	0,0;	0,0
310,9432067871094;	104,0;	0,0;	0,0
310,9772644042969;	111,25;	0,0;	0,0
311,01129150390625;	105,5;	0,0;	0,0
311,0452880859375;	99,5;	0,0;	0,0
311,079345703125;	117,5;	0,0;	0,0
311,11334228515625;	91,5;	0,0;	0,0
311,1473388671875;	105,5;	0,0;	0,0
311,1813659667969;	112,75;	0,0;	0,0
311,2153625488281;	108,25;	0,0;	0,0
311,24932861328125;	118,75;	0,0;	0,0
311,2833251953125;	93,75;	0,0;	0,0
311,3172912597656;	106,75;	0,0;	0,0
311,35125732421875;	117,75;	0,0;	0,0
311,3852233886719;	110,0;	0,0;	0,0
311,419189453125;	112,25;	0,0;	0,0
311,453125;	110,75;	0,0;	0,0
311,487060546875;	117,75;	0,0;	0,0
311,5209655761719;	108,75;	0,0;	0,0
311,55487060546875;	106,5;	0,0;	0,0
311,58880615234375;	119,0;	0,0;	0,0
311,6227111816406;	130,75;	0,0;	0,0
311,6566162109375;	133,25;	0,0;	0,0
311,6905212402344;	119,75;	0,0;	0,0
311,72442626953125;	103,75;	0,0;	0,0
311,75830078125;	123,0;	0,0;	0,0
311,79217529296875;	119,25;	0,0;	0,0
311,8260498046875;	101,0;	0,0;	0,0
311,8598937988281;	94,75;	0,0;	0,0
311,8937683105469;	110,75;	0,0;	0,0
311,9276123046875;	127,5;	0,0;	0,0
311,96142578125;	112,0;	0,0;	0,0
311,99530029296875;	117,5;	0,0;	0,0
312,02911376953125;	118,75;	0,0;	0,0
312,06292724609375;	118,25;	0,0;	0,0
312,09674072265625;	128,75;	0,0;	0,0
312,13055419921875;	112,0;	0,0;	0,0
312,164306640625;	115,25;	0,0;	0,0
312,1981201171875;	105,75;	0,0;	0,0
312,2319030761719;	120,0;	0,0;	0,0
312,2656555175781;	102,25;	0,0;	0,0
312,2994384765625;	121,5;	0,0;	0,0
312,33319091796875;	113,0;	0,0;	0,0
312,366943359375;	113,75;	0,0;	0,0
312,4007263183594;	119,0;	0,0;	0,0
312,4344482421875;	104,0;	0,0;	0,0
312,4681701660156;	136,75;	0,0;	0,0
312,5019226074219;	128,5;	0,0;	0,0
312,53564453125;	162,25;	0,0;	0,0
312,5693054199219;	155,0;	0,0;	0,0
312,6030578613281;	137,0;	0,0;	0,0
312,6367492675781;	131,25;	0,0;	0,0
312,67041015625;	118,25;	0,0;	0,0
312,7041320800781;	116,0;	0,0;	0,0
312,73779296875;	109,5;	0,0;	0,0
312,7714538574219;	115,5;	0,0;	0,0
312,8051452636719;	87,5;	0,0;	0,0
312,83880615234375;	110,5;	0,0;	0,0
312,8724060058594;	132,0;	0,0;	0,0
312,90606689453125;	111,75;	0,0;	0,0
312,939697265625;	111,75;	0,0;	0,0
312,97332763671875;	113,75;	0,0;	0,0
313,0069580078125;	106,75;	0,0;	0,0
313,0405578613281;	98,5;	0,0;	0,0
313,07415771484375;	109,75;	0,0;	0,0
313,10772705078125;	107,25;	0,0;	0,0
313,141357421875;	117,25;	0,0;	0,0
313,1749267578125;	113,75;	0,0;	0,0
313,20849609375;	142,75;	0,0;	0,0
313,2420959472656;	117,25;	0,0;	0,0
313,275634765625;	132,5;	0,0;	0,0
313,3092041015625;	113,0;	0,0;	0,0
313,3427429199219;	117,25;	0,0;	0,0
313,37628173828125;	101,75;	0,0;	0,0
313,4098205566406;	140,5;	0,0;	0,0
313,443359375;	122,75;	0,0;	0,0
313,47686767578125;	129,0;	0,0;	0,0
313,5103454589844;	131,0;	0,0;	0,0
313,54388427734375;	118,25;	0,0;	0,0
313,577392578125;	119,75;	0,0;	0,0
313,6108703613281;	116,25;	0,0;	0,0
313,6443786621094;	113,5;	0,0;	0,0
313,6778564453125;	106,5;	0,0;	0,0
313,7113037109375;	107,0;	0,0;	0,0
313,7447814941406;	111,75;	0,0;	0,0
313,7782287597656;	119,5;	0,0;	0,0
313,8116760253906;	118,75;	0,0;	0,0
313,8451232910156;	97,25;	0,0;	0,0
313,8785400390625;	118,0;	0,0;	0,0
313,9119567871094;	113,75;	0,0;	0,0
313,9454040527344;	105,25;	0,0;	0,0
313,97882080078125;	116,75;	0,0;	0,0
314,01220703125;	106,5;	0,0;	0,0
314,0456237792969;	123,0;	0,0;	0,0
314,0790100097656;	119,75;	0,0;	0,0
314,1123962402344;	120,5;	0,0;	0,0
314,1457824707031;	115,25;	0,0;	0,0
314,17913818359375;	113,25;	0,0;	0,0
314,2124938964844;	112,0;	0,0;	0,0
314,245849609375;	128,25;	0,0;	0,0
314,2792053222656;	127,25;	0,0;	0,0
314,31256103515625;	113,0;	0,0;	0,0
314,3459167480469;	126,5;	0,0;	0,0
314,37921142578125;	132,0;	0,0;	0,0
314,41253662109375;	129,5;	0,0;	0,0
314,44586181640625;	128,5;	0,0;	0,0
314,4791564941406;	126,5;	0,0;	0,0
314,512451171875;	132,75;	0,0;	0,0
314,5457763671875;	117,0;	0,0;	0,0
314,57904052734375;	117,25;	0,0;	0,0
314,6123046875;	126,25;	0,0;	0,0
314,6455993652344;	120,75;	0,0;	0,0
314,6788635253906;	117,75;	0,0;	0,0
314,71209716796875;	101,0;	0,0;	0,0
314,745361328125;	118,5;	0,0;	0,0
314,7785949707031;	115,5;	0,0;	0,0
314,8117980957031;	120,75;	0,0;	0,0
314,8450622558594;	106,75;	0,0;	0,0
314,8782653808594;	121,5;	0,0;	0,0
314,9114685058594;	113,25;	0,0;	0,0
314,9447021484375;	120,25;	0,0;	0,0
314,9778747558594;	103,75;	0,0;	0,0
315,0110778808594;	132,75;	0,0;	0,0
315,0442810058594;	110,75;	0,0;	0,0
315,07745361328125;	127,0;	0,0;	0,0
315,1106262207031;	119,5;	0,0;	0,0
315,14373779296875;	138,25;	0,0;	0,0
315,17694091796875;	146,75;	0,0;	0,0
315,2100830078125;	95,25;	0,0;	0,0
315,2431945800781;	109,5;	0,0;	0,0
315,2763671875;	124,25;	0,0;	0,0
315,3094787597656;	153,0;	0,0;	0,0
315,34259033203125;	132,25;	0,0;	0,0
315,3757019042969;	148,0;	0,0;	0,0
315,4088134765625;	161,25;	0,0;	0,0
315,4419250488281;	120,5;	0,0;	0,0
315,4750061035156;	103,5;	0,0;	0,0
315,5080871582031;	116,5;	0,0;	0,0
315,5411376953125;	131,0;	0,0;	0,0
315,5742492675781;	128,5;	0,0;	0,0
315,6072998046875;	134,75;	0,0;	0,0
315,6403503417969;	135,25;	0,0;	0,0
315,67340087890625;	137,25;	0,0;	0,0
315,7064514160156;	155,5;	0,0;	0,0
315,7394714355469;	133,25;	0,0;	0,0
315,77252197265625;	130,25;	0,0;	0,0
315,8055114746094;	134,0;	0,0;	0,0
315,8385314941406;	143,5;	0,0;	0,0
315,8715515136719;	150,25;	0,0;	0,0
315,904541015625;	145,0;	0,0;	0,0
315,9375305175781;	129,0;	0,0;	0,0
315,9705505371094;	128,0;	0,0;	0,0
316,00347900390625;	135,25;	0,0;	0,0
316,0364685058594;	164,5;	0,0;	0,0
316,0694274902344;	153,0;	0,0;	0,0
316,10235595703125;	119,5;	0,0;	0,0
316,13531494140625;	138,5;	0,0;	0,0
316,16827392578125;	135,0;	0,0;	0,0
316,2012023925781;	146,25;	0,0;	0,0
316,2341003417969;	119,0;	0,0;	0,0
316,2670593261719;	117,25;	0,0;	0,0
316,2999572753906;	121,75;	0,0;	0,0
316,3328552246094;	119,5;	0,0;	0,0
316,36578369140625;	128,5;	0,0;	0,0
316,3986511230469;	124,0;	0,0;	0,0
316,4315490722656;	123,5;	0,0;	0,0
316,46441650390625;	103,75;	0,0;	0,0
316,4972839355469;	111,75;	0,0;	0,0
316,5301513671875;	130,25;	0,0;	0,0
316,5630187988281;	142,0;	0,0;	0,0
316,5958251953125;	116,75;	0,0;	0,0
316,6286926269531;	148,75;	0,0;	0,0
316,6615295410156;	110,25;	0,0;	0,0
316,6943359375;	104,5;	0,0;	0,0
316,7271728515625;	117,5;	0,0;	0,0
316,7599792480469;	121,25;	0,0;	0,0
316,7927551269531;	150,75;	0,0;	0,0
316,8255310058594;	132,0;	0,0;	0,0
316,8583679199219;	115,75;	0,0;	0,0
316,8911437988281;	114,75;	0,0;	0,0
316,92388916015625;	116,0;	0,0;	0,0
316,9566955566406;	94,25;	0,0;	0,0
316,98944091796875;	116,5;	0,0;	0,0
317,0221862792969;	114,25;	0,0;	0,0
317,054931640625;	123,25;	0,0;	0,0
317,0876770019531;	113,0;	0,0;	0,0
317,1203918457031;	111,0;	0,0;	0,0
317,1531066894531;	131,75;	0,0;	0,0
317,18585205078125;	123,5;	0,0;	0,0
317,2185363769531;	99,0;	0,0;	0,0
317,2512512207031;	96,0;	0,0;	0,0
317,2839660644531;	99,0;	0,0;	0,0
317,3166198730469;	97,75;	0,0;	0,0
317,34930419921875;	114,25;	0,0;	0,0
317,3819885253906;	130,5;	0,0;	0,0
317,4146728515625;	101,5;	0,0;	0,0
317,44732666015625;	113,5;	0,0;	0,0
317,47998046875;	118,75;	0,0;	0,0
317,5126037597656;	149,5;	0,0;	0,0
317,54522705078125;	145,25;	0,0;	0,0
317,577880859375;	98,25;	0,0;	0,0
317,6105041503906;	118,75;	0,0;	0,0
317,6430969238281;	108,75;	0,0;	0,0
317,6757507324219;	126,25;	0,0;	0,0
317,7083435058594;	139,5;	0,0;	0,0
317,74090576171875;	132,5;	0,0;	0,0
317,7735290527344;	155,75;	0,0;	0,0
317,80609130859375;	143,25;	0,0;	0,0
317,8386535644531;	138,5;	0,0;	0,0
317,8712463378906;	155,25;	0,0;	0,0
317,9037780761719;	188,25;	0,0;	0,0
317,9363098144531;	231,75;	0,0;	0,0
317,9688720703125;	200,0;	0,0;	0,0
318,00140380859375;	231,25;	0,0;	0,0
318,033935546875;	184,0;	0,0;	0,0
318,06646728515625;	142,5;	0,0;	0,0
318,0989685058594;	122,25;	0,0;	0,0
318,1314697265625;	147,5;	0,0;	0,0
318,16400146484375;	127,0;	0,0;	0,0
318,19647216796875;	138,5;	0,0;	0,0
318,22894287109375;	125,75;	0,0;	0,0
318,2614440917969;	119,0;	0,0;	0,0
318,2939147949219;	144,25;	0,0;	0,0
318,32635498046875;	121,5;	0,0;	0,0
318,35882568359375;	125,25;	0,0;	0,0
318,39129638671875;	135,75;	0,0;	0,0
318,4237060546875;	106,5;	0,0;	0,0
318,4561767578125;	136,5;	0,0;	0,0
318,48858642578125;	122,25;	0,0;	0,0
318,5209655761719;	113,0;	0,0;	0,0
318,55340576171875;	108,75;	0,0;	0,0
318,5858154296875;	119,25;	0,0;	0,0
318,6181945800781;	107,75;	0,0;	0,0
318,6506042480469;	130,5;	0,0;	0,0
318,6829833984375;	152,5;	0,0;	0,0
318,7153625488281;	135,75;	0,0;	0,0
318,74774169921875;	118,0;	0,0;	0,0
318,78009033203125;	105,25;	0,0;	0,0
318,81243896484375;	125,75;	0,0;	0,0
318,8448181152344;	131,25;	0,0;	0,0
318,87713623046875;	154,25;	0,0;	0,0
318,9094543457031;	126,0;	0,0;	0,0
318,9418029785156;	101,5;	0,0;	0,0
318,97412109375;	111,75;	0,0;	0,0
319,00640869140625;	106,0;	0,0;	0,0
319,0387268066406;	107,5;	0,0;	0,0
319,0710144042969;	124,5;	0,0;	0,0
319,1033020019531;	103,25;	0,0;	0,0
319,1355895996094;	133,75;	0,0;	0,0
319,1678466796875;	150,0;	0,0;	0,0
319,2001037597656;	134,25;	0,0;	0,0
319,2323913574219;	184,25;	0,0;	0,0
319,2646179199219;	216,5;	0,0;	0,0
319,296875;	236,75;	0,0;	0,0
319,3291015625;	211,0;	0,0;	0,0
319,361328125;	171,5;	0,0;	0,0
319,3935546875;	161,0;	0,0;	0,0
319,42578125;	124,75;	0,0;	0,0
319,4579772949219;	120,25;	0,0;	0,0
319,4902038574219;	113,0;	0,0;	0,0
319,5223693847656;	122,75;	0,0;	0,0
319,5545654296875;	134,5;	0,0;	0,0
319,5867614746094;	158,75;	0,0;	0,0
319,618896484375;	203,0;	0,0;	0,0
319,6510925292969;	252,0;	0,0;	0,0
319,6832275390625;	327,25;	0,0;	0,0
319,71539306640625;	185,75;	0,0;	0,0
319,7475280761719;	121,75;	0,0;	0,0
319,7796630859375;	122,5;	0,0;	0,0
319,811767578125;	148,5;	0,0;	0,0
319,84393310546875;	128,5;	0,0;	0,0
319,8760070800781;	134,25;	0,0;	0,0
319,90814208984375;	161,75;	0,0;	0,0
319,94024658203125;	212,25;	0,0;	0,0
319,9723205566406;	167,25;	0,0;	0,0
320,00439453125;	166,25;	0,0;	0,0
320,0364990234375;	205,5;	0,0;	0,0
320,06854248046875;	152,75;	0,0;	0,0
320,1006164550781;	111,0;	0,0;	0,0
320,1326904296875;	106,0;	0,0;	0,0
320,1647033691406;	106,0;	0,0;	0,0
320,1967468261719;	105,75;	0,0;	0,0
320,2287902832031;	109,75;	0,0;	0,0
320,2608337402344;	102,0;	0,0;	0,0
320,2928466796875;	116,0;	0,0;	0,0
320,3248596191406;	116,0;	0,0;	0,0
320,35687255859375;	114,25;	0,0;	0,0
320,38885498046875;	117,25;	0,0;	0,0
320,42083740234375;	105,0;	0,0;	0,0
320,45281982421875;	121,0;	0,0;	0,0
320,48480224609375;	153,0;	0,0;	0,0
320,5167541503906;	180,5;	0,0;	0,0
320,5487060546875;	167,5;	0,0;	0,0
320,5806579589844;	133,0;	0,0;	0,0
320,6126403808594;	113,5;	0,0;	0,0
320,6445617675781;	111,0;	0,0;	0,0
320,67645263671875;	118,75;	0,0;	0,0
320,70843505859375;	121,25;	0,0;	0,0
320,7403259277344;	118,0;	0,0;	0,0
320,772216796875;	109,25;	0,0;	0,0
320,80413818359375;	141,5;	0,0;	0,0
320,8360290527344;	127,25;	0,0;	0,0
320,867919921875;	151,0;	0,0;	0,0
320,8998107910156;	132,0;	0,0;	0,0
320,9316711425781;	166,0;	0,0;	0,0
320,9635314941406;	150,75;	0,0;	0,0
320,9953918457031;	186,0;	0,0;	0,0
321,0272216796875;	218,0;	0,0;	0,0
321,0590515136719;	230,5;	0,0;	0,0
321,09088134765625;	204,5;	0,0;	0,0
321,12274169921875;	218,75;	0,0;	0,0
321,1545715332031;	336,5;	0,0;	0,0
321,1863708496094;	315,5;	0,0;	0,0
321,2181701660156;	217,25;	0,0;	0,0
321,2499694824219;	170,25;	0,0;	0,0
321,28173828125;	180,75;	0,0;	0,0
321,3135681152344;	226,75;	0,0;	0,0
321,3453063964844;	267,25;	0,0;	0,0
321,3770751953125;	400,0;	0,0;	0,0
321,40887451171875;	310,0;	0,0;	0,0
321,44061279296875;	200,75;	0,0;	0,0
321,47235107421875;	141,25;	0,0;	0,0
321,5041198730469;	145,0;	0,0;	0,0
321,5357971191406;	159,5;	0,0;	0,0
321,5675048828125;	206,5;	0,0;	0,0
321,5992431640625;	191,25;	0,0;	0,0
321,6309509277344;	126,5;	0,0;	0,0
321,66265869140625;	133,0;	0,0;	0,0
321,6943664550781;	156,75;	0,0;	0,0
321,7260437011719;	153,75;	0,0;	0,0
321,7577209472656;	142,5;	0,0;	0,0
321,7893981933594;	121,25;	0,0;	0,0
321,821044921875;	129,0;	0,0;	0,0
321,85272216796875;	129,75;	0,0;	0,0
321,8843994140625;	160,75;	0,0;	0,0
321,916015625;	204,25;	0,0;	0,0
321,9476318359375;	272,0;	0,0;	0,0
321,9792785644531;	204,5;	0,0;	0,0
322,0108947753906;	144,25;	0,0;	0,0
322,0425109863281;	117,75;	0,0;	0,0
322,0741271972656;	122,0;	0,0;	0,0
322,105712890625;	172,0;	0,0;	0,0
322,1372985839844;	211,25;	0,0;	0,0
322,16888427734375;	348,5;	0,0;	0,0
322,2004699707031;	375,75;	0,0;	0,0
322,2320251464844;	190,5;	0,0;	0,0
322,26361083984375;	133,0;	0,0;	0,0
322,295166015625;	119,5;	0,0;	0,0
322,3266906738281;	108,75;	0,0;	0,0
322,3582458496094;	101,25;	0,0;	0,0
322,3897705078125;	114,25;	0,0;	0,0
322,4212646484375;	122,5;	0,0;	0,0
322,45281982421875;	142,25;	0,0;	0,0
322,4843444824219;	185,25;	0,0;	0,0
322,51580810546875;	279,0;	0,0;	0,0
322,54736328125;	487,5;	0,0;	0,0
322,57879638671875;	432,25;	0,0;	0,0
322,61029052734375;	204,5;	0,0;	0,0
322,64178466796875;	152,0;	0,0;	0,0
322,6732482910156;	160,5;	0,0;	0,0
322,7046813964844;	183,75;	0,0;	0,0
322,7361755371094;	279,0;	0,0;	0,0
322,767578125;	397,25;	0,0;	0,0
322,79901123046875;	251,5;	0,0;	0,0
322,8304748535156;	172,25;	0,0;	0,0
322,86187744140625;	133,25;	0,0;	0,0
322,8932800292969;	149,0;	0,0;	0,0
322,9247131347656;	133,0;	0,0;	0,0
322,9560852050781;	164,25;	0,0;	0,0
322,98748779296875;	187,5;	0,0;	0,0
323,01885986328125;	173,5;	0,0;	0,0
323,05023193359375;	137,5;	0,0;	0,0
323,08160400390625;	163,0;	0,0;	0,0
323,1129455566406;	150,5;	0,0;	0,0
323,1443176269531;	134,75;	0,0;	0,0
323,1756591796875;	115,75;	0,0;	0,0
323,2070007324219;	94,25;	0,0;	0,0
323,23834228515625;	128,0;	0,0;	0,0
323,2696533203125;	180,75;	0,0;	0,0
323,30096435546875;	165,25;	0,0;	0,0
323,3323059082031;	123,25;	0,0;	0,0
323,36358642578125;	163,0;	0,0;	0,0
323,3948669433594;	174,5;	0,0;	0,0
323,4261779785156;	148,75;	0,0;	0,0
323,45745849609375;	150,0;	0,0;	0,0
323,48870849609375;	113,5;	0,0;	0,0
323,5199890136719;	113,5;	0,0;	0,0
323,55126953125;	127,75;	0,0;	0,0
323,5824890136719;	131,25;	0,0;	0,0
323,61376953125;	153,5;	0,0;	0,0
323,6449890136719;	136,75;	0,0;	0,0
323,67620849609375;	116,25;	0,0;	0,0
323,70745849609375;	128,25;	0,0;	0,0
323,7386474609375;	99,0;	0,0;	0,0
323,76983642578125;	117,25;	0,0;	0,0
323,8010559082031;	103,75;	0,0;	0,0
323,8322448730469;	129,5;	0,0;	0,0
323,8634338378906;	129,0;	0,0;	0,0
323,8946228027344;	203,0;	0,0;	0,0
