-0.5	1.5
Integration time [ms]:	1.05
Averaging Nr. [scans]:1
Smoothing Nr. [pixels]:0
Data measured with spectrometer [name]:b'1703272U8'
Wave	;Sample	;Dark	;Reference	;Scope	
[nm]	;[counts]	;[counts]	;[counts]	
 
177,84457397460938;	191,0;	0,0;	0,0
177,88824462890625;	180,0;	0,0;	0,0
177,931884765625;	166,5;	0,0;	0,0
177,9755401611328;	193,5;	0,0;	0,0
178,01918029785156;	180,75;	0,0;	0,0
178,06283569335938;	182,0;	0,0;	0,0
178,10646057128906;	197,0;	0,0;	0,0
178,15008544921875;	197,25;	0,0;	0,0
178,19371032714844;	185,75;	0,0;	0,0
178,23733520507812;	179,25;	0,0;	0,0
178,28094482421875;	174,0;	0,0;	0,0
178,32455444335938;	166,0;	0,0;	0,0
178,3681640625;	174,0;	0,0;	0,0
178,4117431640625;	183,75;	0,0;	0,0
178,45535278320312;	181,5;	0,0;	0,0
178,49893188476562;	194,0;	0,0;	0,0
178,54251098632812;	177,0;	0,0;	0,0
178,58609008789062;	191,0;	0,0;	0,0
178,62965393066406;	192,25;	0,0;	0,0
178,6732177734375;	185,25;	0,0;	0,0
178,71678161621094;	166,5;	0,0;	0,0
178,76034545898438;	194,0;	0,0;	0,0
178,8038787841797;	197,5;	0,0;	0,0
178,84744262695312;	190,5;	0,0;	0,0
178,89096069335938;	175,5;	0,0;	0,0
178,93450927734375;	181,25;	0,0;	0,0
178,97802734375;	181,0;	0,0;	0,0
179,0215606689453;	188,25;	0,0;	0,0
179,0650634765625;	180,25;	0,0;	0,0
179,10858154296875;	178,25;	0,0;	0,0
179,15208435058594;	169,0;	0,0;	0,0
179,19558715820312;	192,5;	0,0;	0,0
179,2390899658203;	169,5;	0,0;	0,0
179,28257751464844;	192,0;	0,0;	0,0
179,32606506347656;	180,5;	0,0;	0,0
179,36953735351562;	189,0;	0,0;	0,0
179,41302490234375;	179,25;	0,0;	0,0
179,4564666748047;	184,75;	0,0;	0,0
179,49993896484375;	163,0;	0,0;	0,0
179,5433807373047;	195,25;	0,0;	0,0
179,5868377685547;	189,5;	0,0;	0,0
179,6302947998047;	181,5;	0,0;	0,0
179,67373657226562;	184,25;	0,0;	0,0
179,71717834472656;	207,5;	0,0;	0,0
179,76060485839844;	184,0;	0,0;	0,0
179,8040313720703;	178,75;	0,0;	0,0
179,84744262695312;	197,25;	0,0;	0,0
179,890869140625;	196,0;	0,0;	0,0
179,93426513671875;	189,25;	0,0;	0,0
179,97769165039062;	179,0;	0,0;	0,0
180,0210723876953;	161,75;	0,0;	0,0
180,06448364257812;	176,5;	0,0;	0,0
180,10787963867188;	172,5;	0,0;	0,0
180,15122985839844;	192,0;	0,0;	0,0
180,1946258544922;	177,0;	0,0;	0,0
180,2379913330078;	173,75;	0,0;	0,0
180,28135681152344;	169,75;	0,0;	0,0
180,32470703125;	176,25;	0,0;	0,0
180,36807250976562;	178,5;	0,0;	0,0
180,4114227294922;	176,5;	0,0;	0,0
180,45477294921875;	188,75;	0,0;	0,0
180,49810791015625;	173,75;	0,0;	0,0
180,54144287109375;	194,5;	0,0;	0,0
180,58477783203125;	195,25;	0,0;	0,0
180,62808227539062;	186,75;	0,0;	0,0
180,67141723632812;	179,75;	0,0;	0,0
180,7147216796875;	186,25;	0,0;	0,0
180,75804138183594;	170,25;	0,0;	0,0
180,80133056640625;	191,0;	0,0;	0,0
180,84463500976562;	182,75;	0,0;	0,0
180,88790893554688;	179,25;	0,0;	0,0
180,9311981201172;	182,5;	0,0;	0,0
180,9744873046875;	179,0;	0,0;	0,0
181,01776123046875;	187,0;	0,0;	0,0
181,06103515625;	181,25;	0,0;	0,0
181,1042938232422;	176,0;	0,0;	0,0
181,14755249023438;	191,25;	0,0;	0,0
181,1907958984375;	182,5;	0,0;	0,0
181,2340545654297;	193,0;	0,0;	0,0
181,2772979736328;	182,5;	0,0;	0,0
181,32054138183594;	196,5;	0,0;	0,0
181,36375427246094;	206,5;	0,0;	0,0
181,406982421875;	188,25;	0,0;	0,0
181,45021057128906;	182,5;	0,0;	0,0
181,49342346191406;	198,75;	0,0;	0,0
181,53665161132812;	179,25;	0,0;	0,0
181,579833984375;	189,75;	0,0;	0,0
181,623046875;	183,5;	0,0;	0,0
181,66622924804688;	196,75;	0,0;	0,0
181,7094268798828;	179,25;	0,0;	0,0
181,75259399414062;	190,0;	0,0;	0,0
181,7957763671875;	176,25;	0,0;	0,0
181,8389434814453;	159,75;	0,0;	0,0
181,8821258544922;	195,25;	0,0;	0,0
181,92527770996094;	171,0;	0,0;	0,0
181,9684295654297;	175,5;	0,0;	0,0
182,0115966796875;	189,0;	0,0;	0,0
182,0547332763672;	177,75;	0,0;	0,0
182,09786987304688;	175,5;	0,0;	0,0
182,14100646972656;	180,0;	0,0;	0,0
182,18414306640625;	176,75;	0,0;	0,0
182,2272491455078;	200,0;	0,0;	0,0
182,27037048339844;	180,75;	0,0;	0,0
182,31350708007812;	167,25;	0,0;	0,0
182,35658264160156;	176,0;	0,0;	0,0
182,3997039794922;	177,75;	0,0;	0,0
182,4427947998047;	176,5;	0,0;	0,0
182,4858856201172;	192,75;	0,0;	0,0
182,52896118164062;	185,5;	0,0;	0,0
182,57205200195312;	177,5;	0,0;	0,0
182,6151123046875;	186,25;	0,0;	0,0
182,658203125;	184,25;	0,0;	0,0
182,70126342773438;	173,25;	0,0;	0,0
182,7443084716797;	171,25;	0,0;	0,0
182,78738403320312;	184,25;	0,0;	0,0
182,83041381835938;	187,5;	0,0;	0,0
182,8734588623047;	180,5;	0,0;	0,0
182,91648864746094;	172,5;	0,0;	0,0
182,9595184326172;	180,5;	0,0;	0,0
183,00253295898438;	166,0;	0,0;	0,0
183,04556274414062;	188,75;	0,0;	0,0
183,0885772705078;	183,75;	0,0;	0,0
183,131591796875;	173,75;	0,0;	0,0
183,1746063232422;	190,25;	0,0;	0,0
183,21759033203125;	180,0;	0,0;	0,0
183,26058959960938;	178,25;	0,0;	0,0
183,30355834960938;	180,75;	0,0;	0,0
183,3465576171875;	171,75;	0,0;	0,0
183,3895263671875;	175,0;	0,0;	0,0
183,43251037597656;	189,0;	0,0;	0,0
183,4754638671875;	185,5;	0,0;	0,0
183,5184326171875;	190,75;	0,0;	0,0
183,56137084960938;	180,25;	0,0;	0,0
183,60433959960938;	173,0;	0,0;	0,0
183,64727783203125;	191,0;	0,0;	0,0
