-0.5	1.5
Integration time [ms]:	1.05
Averaging Nr. [scans]:1
Smoothing Nr. [pixels]:0
Data measured with spectrometer [name]:b'1703274U8'
Wave	;Sample	;Dark	;Reference	;Scope	
[nm]	;[counts]	;[counts]	;[counts]	
 
309,952880859375;	190,75;	0,0;	0,0
309,98712158203125;	329,0;	0,0;	0,0
310,0213928222656;	349,75;	0,0;	0,0
310,05560302734375;	289,5;	0,0;	0,0
310,0898132324219;	190,5;	0,0;	0,0
310,1240539550781;	139,25;	0,0;	0,0
310,15826416015625;	126,0;	0,0;	0,0
310,19244384765625;	123,25;	0,0;	0,0
310,2266845703125;	112,75;	0,0;	0,0
310,2608642578125;	120,75;	0,0;	0,0
310,2950439453125;	119,0;	0,0;	0,0
310,3292236328125;	114,0;	0,0;	0,0
310,3633728027344;	128,5;	0,0;	0,0
310,3975524902344;	107,75;	0,0;	0,0
310,43170166015625;	100,75;	0,0;	0,0
310,4658508300781;	96,0;	0,0;	0,0
310,5;	120,5;	0,0;	0,0
310,5341491699219;	109,75;	0,0;	0,0
310,5682678222656;	111,75;	0,0;	0,0
310,6023864746094;	117,25;	0,0;	0,0
310,6365051269531;	107,0;	0,0;	0,0
310,67059326171875;	109,75;	0,0;	0,0
310,7046813964844;	111,75;	0,0;	0,0
310,7388000488281;	112,75;	0,0;	0,0
310,77288818359375;	112,0;	0,0;	0,0
310,80694580078125;	111,5;	0,0;	0,0
310,8410339355469;	97,25;	0,0;	0,0
310,8750915527344;	135,25;	0,0;	0,0
310,9091491699219;	104,25;	0,0;	0,0
310,9432067871094;	108,0;	0,0;	0,0
310,9772644042969;	104,25;	0,0;	0,0
311,01129150390625;	107,0;	0,0;	0,0
311,0452880859375;	121,5;	0,0;	0,0
311,079345703125;	106,0;	0,0;	0,0
311,11334228515625;	119,5;	0,0;	0,0
311,1473388671875;	116,0;	0,0;	0,0
311,1813659667969;	103,0;	0,0;	0,0
311,2153625488281;	104,25;	0,0;	0,0
311,24932861328125;	120,5;	0,0;	0,0
311,2833251953125;	97,75;	0,0;	0,0
311,3172912597656;	121,0;	0,0;	0,0
311,35125732421875;	100,0;	0,0;	0,0
311,3852233886719;	116,0;	0,0;	0,0
311,419189453125;	120,75;	0,0;	0,0
311,453125;	125,25;	0,0;	0,0
311,487060546875;	112,0;	0,0;	0,0
311,5209655761719;	123,0;	0,0;	0,0
311,55487060546875;	128,5;	0,0;	0,0
311,58880615234375;	119,25;	0,0;	0,0
311,6227111816406;	124,5;	0,0;	0,0
311,6566162109375;	141,0;	0,0;	0,0
311,6905212402344;	129,5;	0,0;	0,0
311,72442626953125;	118,75;	0,0;	0,0
311,75830078125;	115,5;	0,0;	0,0
311,79217529296875;	111,25;	0,0;	0,0
311,8260498046875;	111,5;	0,0;	0,0
311,8598937988281;	111,25;	0,0;	0,0
311,8937683105469;	113,25;	0,0;	0,0
311,9276123046875;	109,75;	0,0;	0,0
311,96142578125;	128,0;	0,0;	0,0
311,99530029296875;	115,25;	0,0;	0,0
312,02911376953125;	124,0;	0,0;	0,0
312,06292724609375;	131,5;	0,0;	0,0
312,09674072265625;	126,25;	0,0;	0,0
312,13055419921875;	118,0;	0,0;	0,0
312,164306640625;	124,0;	0,0;	0,0
312,1981201171875;	109,5;	0,0;	0,0
312,2319030761719;	120,75;	0,0;	0,0
312,2656555175781;	106,0;	0,0;	0,0
312,2994384765625;	110,0;	0,0;	0,0
312,33319091796875;	127,5;	0,0;	0,0
312,366943359375;	125,25;	0,0;	0,0
312,4007263183594;	93,25;	0,0;	0,0
312,4344482421875;	111,0;	0,0;	0,0
312,4681701660156;	135,5;	0,0;	0,0
312,5019226074219;	134,25;	0,0;	0,0
312,53564453125;	167,0;	0,0;	0,0
312,5693054199219;	178,5;	0,0;	0,0
312,6030578613281;	153,0;	0,0;	0,0
312,6367492675781;	123,75;	0,0;	0,0
312,67041015625;	131,5;	0,0;	0,0
312,7041320800781;	107,5;	0,0;	0,0
312,73779296875;	124,75;	0,0;	0,0
312,7714538574219;	118,0;	0,0;	0,0
312,8051452636719;	115,25;	0,0;	0,0
312,83880615234375;	113,75;	0,0;	0,0
312,8724060058594;	112,75;	0,0;	0,0
312,90606689453125;	118,25;	0,0;	0,0
312,939697265625;	104,0;	0,0;	0,0
312,97332763671875;	116,0;	0,0;	0,0
313,0069580078125;	118,75;	0,0;	0,0
313,0405578613281;	120,25;	0,0;	0,0
313,07415771484375;	113,5;	0,0;	0,0
313,10772705078125;	117,5;	0,0;	0,0
313,141357421875;	112,5;	0,0;	0,0
313,1749267578125;	108,25;	0,0;	0,0
