-0.5	1.5
Integration time [ms]:	1.05
Averaging Nr. [scans]:1
Smoothing Nr. [pixels]:0
Data measured with spectrometer [name]:b'1703276U8'
Wave	;Sample	;Dark	;Reference	;Scope	
[nm]	;[counts]	;[counts]	;[counts]	
 
400,41888427734375;	255,75;	0,0;	0,0
400,4754333496094;	314,75;	0,0;	0,0
400,5319519042969;	616,25;	0,0;	0,0
400,5885009765625;	932,75;	0,0;	0,0
400,6449890136719;	419,25;	0,0;	0,0
400,7015075683594;	316,25;	0,0;	0,0
400,75799560546875;	281,25;	0,0;	0,0
400,8144836425781;	268,5;	0,0;	0,0
400,8709716796875;	258,75;	0,0;	0,0
400,92742919921875;	268,0;	0,0;	0,0
400,98388671875;	302,5;	0,0;	0,0
401,04034423828125;	355,0;	0,0;	0,0
401,09674072265625;	278,25;	0,0;	0,0
401,1531677246094;	256,25;	0,0;	0,0
401,2095947265625;	256,5;	0,0;	0,0
401,2659912109375;	250,75;	0,0;	0,0
401,3223876953125;	245,5;	0,0;	0,0
401,3787841796875;	246,5;	0,0;	0,0
401,4351806640625;	292,0;	0,0;	0,0
401,4915466308594;	370,75;	0,0;	0,0
401,54791259765625;	336,75;	0,0;	0,0
401,604248046875;	240,75;	0,0;	0,0
401,66058349609375;	249,75;	0,0;	0,0
401,7169189453125;	280,5;	0,0;	0,0
401,77325439453125;	324,25;	0,0;	0,0
401,8295593261719;	282,75;	0,0;	0,0
401,8858642578125;	269,25;	0,0;	0,0
401,942138671875;	247,75;	0,0;	0,0
401,9984436035156;	269,25;	0,0;	0,0
402,0547180175781;	271,0;	0,0;	0,0
402,1109619140625;	252,25;	0,0;	0,0
402,1672058105469;	287,5;	0,0;	0,0
402,22344970703125;	403,75;	0,0;	0,0
402,2796936035156;	363,0;	0,0;	0,0
402,3359375;	248,5;	0,0;	0,0
402,39215087890625;	244,0;	0,0;	0,0
402,44830322265625;	280,25;	0,0;	0,0
402,5045166015625;	306,25;	0,0;	0,0
402,5606994628906;	292,0;	0,0;	0,0
402,6168518066406;	263,75;	0,0;	0,0
402,6730041503906;	261,0;	0,0;	0,0
402,7291564941406;	262,5;	0,0;	0,0
402,7853088378906;	262,5;	0,0;	0,0
402,8414611816406;	250,0;	0,0;	0,0
402,8975830078125;	265,75;	0,0;	0,0
402,9537048339844;	279,5;	0,0;	0,0
403,0097961425781;	356,25;	0,0;	0,0
