-0.5	1.5
Integration time [ms]:	1.05
Averaging Nr. [scans]:1
Smoothing Nr. [pixels]:0
Data measured with spectrometer [name]:b'1703273U8'
Wave	;Sample	;Dark	;Reference	;Scope	
[nm]	;[counts]	;[counts]	;[counts]	
 
250,49510192871094;	159,25;	0,0;	0,0
250,5340576171875;	162,5;	0,0;	0,0
250,572998046875;	162,25;	0,0;	0,0
250,61192321777344;	147,25;	0,0;	0,0
250,65086364746094;	152,0;	0,0;	0,0
250,68978881835938;	143,0;	0,0;	0,0
250,7287139892578;	177,75;	0,0;	0,0
250,7676239013672;	161,5;	0,0;	0,0
250,80653381347656;	180,0;	0,0;	0,0
250,8454132080078;	181,0;	0,0;	0,0
250,8843231201172;	177,0;	0,0;	0,0
250,92320251464844;	158,25;	0,0;	0,0
250,96209716796875;	179,25;	0,0;	0,0
251,00096130371094;	200,0;	0,0;	0,0
251,0398406982422;	306,5;	0,0;	0,0
251,0786895751953;	284,0;	0,0;	0,0
251,1175537109375;	302,0;	0,0;	0,0
251,15640258789062;	355,0;	0,0;	0,0
251,19525146484375;	247,0;	0,0;	0,0
251,2340850830078;	234,75;	0,0;	0,0
251,2729034423828;	206,5;	0,0;	0,0
251,31173706054688;	187,5;	0,0;	0,0
251,35055541992188;	203,0;	0,0;	0,0
251,38937377929688;	294,5;	0,0;	0,0
251,4281768798828;	252,75;	0,0;	0,0
251,46697998046875;	238,75;	0,0;	0,0
251,50576782226562;	196,25;	0,0;	0,0
251,5445556640625;	259,5;	0,0;	0,0
251,58334350585938;	303,25;	0,0;	0,0
251,6221160888672;	255,25;	0,0;	0,0
251,660888671875;	303,75;	0,0;	0,0
251,6996612548828;	320,0;	0,0;	0,0
251,7384033203125;	425,25;	0,0;	0,0
251,7771453857422;	559,5;	0,0;	0,0
251,81590270996094;	344,5;	0,0;	0,0
251,85462951660156;	364,75;	0,0;	0,0
251,8933563232422;	331,0;	0,0;	0,0
251,93206787109375;	268,5;	0,0;	0,0
251,97079467773438;	219,75;	0,0;	0,0
252,00950622558594;	234,25;	0,0;	0,0
252,0482177734375;	300,75;	0,0;	0,0
252,0869140625;	313,0;	0,0;	0,0
252,1256103515625;	399,25;	0,0;	0,0
252,16429138183594;	415,25;	0,0;	0,0
252,20297241210938;	685,0;	0,0;	0,0
252,2416534423828;	1033,75;	0,0;	0,0
252,2803192138672;	721,5;	0,0;	0,0
252,31898498535156;	546,0;	0,0;	0,0
252,35765075683594;	525,0;	0,0;	0,0
252,3962860107422;	527,5;	0,0;	0,0
252,4349365234375;	474,25;	0,0;	0,0
252,4735565185547;	761,75;	0,0;	0,0
252,51219177246094;	804,5;	0,0;	0,0
252,5508270263672;	568,5;	0,0;	0,0
252,58944702148438;	720,75;	0,0;	0,0
252,62803649902344;	490,5;	0,0;	0,0
252,66665649414062;	625,25;	0,0;	0,0
252,70526123046875;	800,25;	0,0;	0,0
252,7438507080078;	502,25;	0,0;	0,0
252,78244018554688;	355,75;	0,0;	0,0
252,8209991455078;	487,75;	0,0;	0,0
252,8595733642578;	828,5;	0,0;	0,0
252,8981475830078;	1125,5;	0,0;	0,0
252,93670654296875;	790,0;	0,0;	0,0
252,97528076171875;	438,75;	0,0;	0,0
253,01382446289062;	324,25;	0,0;	0,0
253,05235290527344;	304,75;	0,0;	0,0
253,09088134765625;	255,25;	0,0;	0,0
253,12942504882812;	253,0;	0,0;	0,0
253,16795349121094;	259,75;	0,0;	0,0
253,2064666748047;	297,0;	0,0;	0,0
253,24497985839844;	334,75;	0,0;	0,0
253,28347778320312;	521,5;	0,0;	0,0
253,32196044921875;	845,0;	0,0;	0,0
253,36045837402344;	640,75;	0,0;	0,0
253,39895629882812;	611,0;	0,0;	0,0
253,43743896484375;	467,75;	0,0;	0,0
253,4759063720703;	518,75;	0,0;	0,0
253,5143585205078;	678,0;	0,0;	0,0
253,55282592773438;	510,25;	0,0;	0,0
253,59127807617188;	578,0;	0,0;	0,0
253,62974548339844;	1049,25;	0,0;	0,0
253,66818237304688;	874,25;	0,0;	0,0
253,7065887451172;	534,0;	0,0;	0,0
253,74502563476562;	471,5;	0,0;	0,0
253,78346252441406;	644,0;	0,0;	0,0
253,82188415527344;	1057,5;	0,0;	0,0
253,8602752685547;	1288,0;	0,0;	0,0
253,89869689941406;	538,0;	0,0;	0,0
253,93707275390625;	337,25;	0,0;	0,0
253,9754638671875;	386,5;	0,0;	0,0
254,01385498046875;	568,75;	0,0;	0,0
254,05223083496094;	741,5;	0,0;	0,0
254,0906219482422;	551,0;	0,0;	0,0
254,1289520263672;	528,5;	0,0;	0,0
254,16732788085938;	577,75;	0,0;	0,0
254,2056884765625;	407,75;	0,0;	0,0
254,2440185546875;	383,25;	0,0;	0,0
254,28236389160156;	557,0;	0,0;	0,0
254,32070922851562;	611,75;	0,0;	0,0
254,3590087890625;	568,75;	0,0;	0,0
254,3973388671875;	399,25;	0,0;	0,0
254,4356689453125;	454,0;	0,0;	0,0
254,47396850585938;	558,5;	0,0;	0,0
254,5122833251953;	494,75;	0,0;	0,0
254,55056762695312;	611,75;	0,0;	0,0
254,58885192871094;	631,0;	0,0;	0,0
254,62713623046875;	534,5;	0,0;	0,0
254,6654052734375;	417,25;	0,0;	0,0
254,7036895751953;	328,25;	0,0;	0,0
254,741943359375;	322,75;	0,0;	0,0
254,7801971435547;	442,0;	0,0;	0,0
254,8184356689453;	597,25;	0,0;	0,0
254,856689453125;	679,0;	0,0;	0,0
254,8949432373047;	813,0;	0,0;	0,0
254,93316650390625;	871,25;	0,0;	0,0
254,97140502929688;	618,5;	0,0;	0,0
255,0095977783203;	443,5;	0,0;	0,0
255,04782104492188;	418,0;	0,0;	0,0
255,08602905273438;	305,0;	0,0;	0,0
255,12423706054688;	220,0;	0,0;	0,0
255,16241455078125;	190,75;	0,0;	0,0
255,20062255859375;	197,25;	0,0;	0,0
255,23878479003906;	227,5;	0,0;	0,0
255,27696228027344;	227,0;	0,0;	0,0
255,31512451171875;	196,5;	0,0;	0,0
255,35328674316406;	177,25;	0,0;	0,0
255,39144897460938;	182,0;	0,0;	0,0
255,42958068847656;	218,25;	0,0;	0,0
255,46774291992188;	256,5;	0,0;	0,0
255,50587463378906;	229,25;	0,0;	0,0
255,54400634765625;	193,5;	0,0;	0,0
255,58212280273438;	201,5;	0,0;	0,0
255,6202392578125;	210,5;	0,0;	0,0
255,65835571289062;	200,75;	0,0;	0,0
255,6964569091797;	198,0;	0,0;	0,0
255,7345428466797;	206,75;	0,0;	0,0
255,77264404296875;	198,75;	0,0;	0,0
255,81072998046875;	191,25;	0,0;	0,0
255,84881591796875;	206,25;	0,0;	0,0
255,8868865966797;	220,5;	0,0;	0,0
255,92494201660156;	275,25;	0,0;	0,0
255,96299743652344;	309,25;	0,0;	0,0
256,00103759765625;	308,0;	0,0;	0,0
256,0390930175781;	226,5;	0,0;	0,0
256,0771484375;	252,25;	0,0;	0,0
256,1152038574219;	318,0;	0,0;	0,0
256,1531982421875;	603,0;	0,0;	0,0
256,19122314453125;	1042,0;	0,0;	0,0
256,229248046875;	1227,75;	0,0;	0,0
256,2672424316406;	665,0;	0,0;	0,0
256,3052673339844;	936,0;	0,0;	0,0
256,3432312011719;	447,5;	0,0;	0,0
256,3812561035156;	226,0;	0,0;	0,0
256,4192199707031;	187,75;	0,0;	0,0
256,4571838378906;	183,0;	0,0;	0,0
256,49517822265625;	187,5;	0,0;	0,0
256,5331115722656;	230,25;	0,0;	0,0
256,57110595703125;	302,5;	0,0;	0,0
256,6090087890625;	399,75;	0,0;	0,0
256,64697265625;	521,5;	0,0;	0,0
256,6849060058594;	353,25;	0,0;	0,0
256,72283935546875;	211,5;	0,0;	0,0
256,76080322265625;	241,75;	0,0;	0,0
256,7986755371094;	244,75;	0,0;	0,0
256,83660888671875;	221,25;	0,0;	0,0
256,87451171875;	199,0;	0,0;	0,0
256,91241455078125;	223,75;	0,0;	0,0
256,9503173828125;	228,75;	0,0;	0,0
256,9881896972656;	277,25;	0,0;	0,0
257,02606201171875;	338,5;	0,0;	0,0
257,06396484375;	284,0;	0,0;	0,0
257,101806640625;	185,75;	0,0;	0,0
257,1396789550781;	205,75;	0,0;	0,0
257,1775207519531;	189,5;	0,0;	0,0
257,2153625488281;	198,75;	0,0;	0,0
257,2532043457031;	226,0;	0,0;	0,0
257,291015625;	209,25;	0,0;	0,0
257,3288879394531;	244,25;	0,0;	0,0
257,3666687011719;	355,25;	0,0;	0,0
257,404541015625;	471,25;	0,0;	0,0
257,44232177734375;	259,5;	0,0;	0,0
257,4801330566406;	268,0;	0,0;	0,0
257,5179138183594;	367,0;	0,0;	0,0
257,5556945800781;	590,5;	0,0;	0,0
257,593505859375;	470,5;	0,0;	0,0
257,6312561035156;	388,25;	0,0;	0,0
257,6690673828125;	355,0;	0,0;	0,0
257,7068176269531;	317,0;	0,0;	0,0
257,7445373535156;	520,75;	0,0;	0,0
257,7823181152344;	402,25;	0,0;	0,0
257,8200378417969;	219,5;	0,0;	0,0
257,8577880859375;	191,5;	0,0;	0,0
257,8955383300781;	223,0;	0,0;	0,0
257,9332275390625;	198,25;	0,0;	0,0
257,9709777832031;	193,5;	0,0;	0,0
258,0086975097656;	169,25;	0,0;	0,0
258,04638671875;	175,75;	0,0;	0,0
258,0840759277344;	221,0;	0,0;	0,0
258,1217956542969;	258,0;	0,0;	0,0
258,15948486328125;	360,25;	0,0;	0,0
258,1971435546875;	620,5;	0,0;	0,0
258,23486328125;	659,75;	0,0;	0,0
258,2724914550781;	257,0;	0,0;	0,0
258,3101806640625;	227,5;	0,0;	0,0
258,3478088378906;	245,5;	0,0;	0,0
258,3854675292969;	347,75;	0,0;	0,0
258,423095703125;	440,25;	0,0;	0,0
258,4607238769531;	405,5;	0,0;	0,0
258,49835205078125;	728,25;	0,0;	0,0
258,5360107421875;	1533,25;	0,0;	0,0
258,5736083984375;	1120,25;	0,0;	0,0
258,6112060546875;	317,5;	0,0;	0,0
258,6488037109375;	208,25;	0,0;	0,0
258,6864013671875;	221,5;	0,0;	0,0
258,7239990234375;	302,5;	0,0;	0,0
258,7615661621094;	435,0;	0,0;	0,0
258,7991638183594;	285,75;	0,0;	0,0
258,83673095703125;	236,5;	0,0;	0,0
258,8742980957031;	185,25;	0,0;	0,0
258,9118347167969;	185,25;	0,0;	0,0
258,9494323730469;	202,5;	0,0;	0,0
258,9869689941406;	205,25;	0,0;	0,0
259,02447509765625;	248,25;	0,0;	0,0
259,06201171875;	320,0;	0,0;	0,0
259,09954833984375;	613,5;	0,0;	0,0
259,1370544433594;	513,75;	0,0;	0,0
259,174560546875;	297,5;	0,0;	0,0
259,2120666503906;	407,0;	0,0;	0,0
259,24957275390625;	472,0;	0,0;	0,0
259,28704833984375;	370,75;	0,0;	0,0
259,3245544433594;	565,25;	0,0;	0,0
259,3620300292969;	387,75;	0,0;	0,0
259,3995361328125;	229,0;	0,0;	0,0
259,4369812011719;	182,0;	0,0;	0,0
259,47442626953125;	186,75;	0,0;	0,0
259,51190185546875;	199,0;	0,0;	0,0
259,5493469238281;	189,75;	0,0;	0,0
259,5867919921875;	194,5;	0,0;	0,0
259,62420654296875;	206,5;	0,0;	0,0
259,66162109375;	278,75;	0,0;	0,0
259,6990661621094;	403,5;	0,0;	0,0
259,7364807128906;	718,25;	0,0;	0,0
259,7738952636719;	1691,75;	0,0;	0,0
259,8113098144531;	2013,75;	0,0;	0,0
259,8486633300781;	1493,75;	0,0;	0,0
259,88604736328125;	2695,25;	0,0;	0,0
259,9234313964844;	2207,0;	0,0;	0,0
259,9608154296875;	602,25;	0,0;	0,0
259,9981994628906;	277,25;	0,0;	0,0
260,0355529785156;	242,25;	0,0;	0,0
260,0729064941406;	208,0;	0,0;	0,0
260,1102600097656;	194,5;	0,0;	0,0
260,1476135253906;	183,5;	0,0;	0,0
260,1849365234375;	189,0;	0,0;	0,0
260,2222595214844;	184,0;	0,0;	0,0
260,25958251953125;	186,5;	0,0;	0,0
260,2969055175781;	178,75;	0,0;	0,0
260,334228515625;	199,75;	0,0;	0,0
260,37152099609375;	193,0;	0,0;	0,0
260,4088439941406;	231,5;	0,0;	0,0
260,44610595703125;	302,25;	0,0;	0,0
260,4833679199219;	399,75;	0,0;	0,0
260,52069091796875;	560,75;	0,0;	0,0
260,5579528808594;	468,0;	0,0;	0,0
260,5952453613281;	590,75;	0,0;	0,0
260,6324462890625;	1124,5;	0,0;	0,0
260,66973876953125;	1759,25;	0,0;	0,0
260,70697021484375;	760,25;	0,0;	0,0
260,7441711425781;	289,0;	0,0;	0,0
260,78143310546875;	246,25;	0,0;	0,0
260,81866455078125;	257,75;	0,0;	0,0
260,85589599609375;	261,5;	0,0;	0,0
260,8930969238281;	240,5;	0,0;	0,0
260,9302978515625;	240,0;	0,0;	0,0
260,967529296875;	241,0;	0,0;	0,0
261,0046691894531;	257,75;	0,0;	0,0
261,0419006347656;	398,25;	0,0;	0,0
261,0790710449219;	645,75;	0,0;	0,0
261,1162109375;	1265,0;	0,0;	0,0
261,1534118652344;	1919,0;	0,0;	0,0
261,1905517578125;	735,25;	0,0;	0,0
261,22772216796875;	342,5;	0,0;	0,0
261,2648620605469;	390,25;	0,0;	0,0
261,3019714355469;	714,0;	0,0;	0,0
261,3391418457031;	1275,5;	0,0;	0,0
261,3762512207031;	702,5;	0,0;	0,0
261,41339111328125;	263,75;	0,0;	0,0
261,4504699707031;	195,5;	0,0;	0,0
261,48760986328125;	196,5;	0,0;	0,0
261,52471923828125;	184,25;	0,0;	0,0
261,5617980957031;	205,25;	0,0;	0,0
261,5989074707031;	222,75;	0,0;	0,0
261,6359558105469;	267,25;	0,0;	0,0
261,6730651855469;	506,25;	0,0;	0,0
