0.0	0.0
Integration time [ms]:	1.05
Averaging Nr. [scans]:1
Smoothing Nr. [pixels]:0
Data measured with spectrometer [name]:b'1703272U8'
Wave	;Sample	;Dark	;Reference	;Scope	
[nm]	;[counts]	;[counts]	;[counts]	
 
177,84457397460938;	203,5;	0,0;	0,0
177,88824462890625;	201,75;	0,0;	0,0
177,931884765625;	190,0;	0,0;	0,0
177,9755401611328;	177,0;	0,0;	0,0
178,01918029785156;	184,5;	0,0;	0,0
178,06283569335938;	166,25;	0,0;	0,0
178,10646057128906;	186,25;	0,0;	0,0
178,15008544921875;	179,5;	0,0;	0,0
178,19371032714844;	213,5;	0,0;	0,0
178,23733520507812;	194,75;	0,0;	0,0
178,28094482421875;	197,0;	0,0;	0,0
178,32455444335938;	182,0;	0,0;	0,0
178,3681640625;	200,25;	0,0;	0,0
178,4117431640625;	166,25;	0,0;	0,0
178,45535278320312;	194,25;	0,0;	0,0
178,49893188476562;	188,5;	0,0;	0,0
178,54251098632812;	175,0;	0,0;	0,0
178,58609008789062;	190,5;	0,0;	0,0
178,62965393066406;	198,5;	0,0;	0,0
178,6732177734375;	168,5;	0,0;	0,0
178,71678161621094;	174,75;	0,0;	0,0
178,76034545898438;	182,0;	0,0;	0,0
178,8038787841797;	183,25;	0,0;	0,0
178,84744262695312;	184,25;	0,0;	0,0
178,89096069335938;	179,75;	0,0;	0,0
178,93450927734375;	182,25;	0,0;	0,0
178,97802734375;	190,5;	0,0;	0,0
179,0215606689453;	184,5;	0,0;	0,0
179,0650634765625;	200,5;	0,0;	0,0
179,10858154296875;	191,75;	0,0;	0,0
179,15208435058594;	176,0;	0,0;	0,0
179,19558715820312;	167,25;	0,0;	0,0
179,2390899658203;	199,25;	0,0;	0,0
179,28257751464844;	183,25;	0,0;	0,0
179,32606506347656;	188,25;	0,0;	0,0
179,36953735351562;	186,5;	0,0;	0,0
179,41302490234375;	194,5;	0,0;	0,0
179,4564666748047;	201,0;	0,0;	0,0
179,49993896484375;	191,5;	0,0;	0,0
179,5433807373047;	194,0;	0,0;	0,0
179,5868377685547;	180,75;	0,0;	0,0
179,6302947998047;	190,25;	0,0;	0,0
179,67373657226562;	172,5;	0,0;	0,0
179,71717834472656;	194,25;	0,0;	0,0
179,76060485839844;	184,0;	0,0;	0,0
179,8040313720703;	198,25;	0,0;	0,0
179,84744262695312;	190,0;	0,0;	0,0
179,890869140625;	194,75;	0,0;	0,0
179,93426513671875;	186,0;	0,0;	0,0
179,97769165039062;	200,5;	0,0;	0,0
180,0210723876953;	202,0;	0,0;	0,0
180,06448364257812;	191,5;	0,0;	0,0
180,10787963867188;	175,25;	0,0;	0,0
180,15122985839844;	182,0;	0,0;	0,0
180,1946258544922;	178,25;	0,0;	0,0
180,2379913330078;	195,5;	0,0;	0,0
180,28135681152344;	174,75;	0,0;	0,0
180,32470703125;	192,0;	0,0;	0,0
180,36807250976562;	181,0;	0,0;	0,0
180,4114227294922;	208,5;	0,0;	0,0
180,45477294921875;	179,75;	0,0;	0,0
180,49810791015625;	193,25;	0,0;	0,0
180,54144287109375;	179,0;	0,0;	0,0
180,58477783203125;	182,0;	0,0;	0,0
180,62808227539062;	194,25;	0,0;	0,0
180,67141723632812;	185,25;	0,0;	0,0
180,7147216796875;	192,5;	0,0;	0,0
180,75804138183594;	191,0;	0,0;	0,0
180,80133056640625;	173,5;	0,0;	0,0
180,84463500976562;	184,0;	0,0;	0,0
180,88790893554688;	182,5;	0,0;	0,0
180,9311981201172;	185,25;	0,0;	0,0
180,9744873046875;	191,0;	0,0;	0,0
181,01776123046875;	195,25;	0,0;	0,0
181,06103515625;	182,0;	0,0;	0,0
181,1042938232422;	169,75;	0,0;	0,0
181,14755249023438;	188,0;	0,0;	0,0
181,1907958984375;	184,0;	0,0;	0,0
181,2340545654297;	192,0;	0,0;	0,0
181,2772979736328;	188,5;	0,0;	0,0
181,32054138183594;	196,25;	0,0;	0,0
181,36375427246094;	172,5;	0,0;	0,0
181,406982421875;	185,0;	0,0;	0,0
181,45021057128906;	182,5;	0,0;	0,0
181,49342346191406;	191,25;	0,0;	0,0
181,53665161132812;	196,0;	0,0;	0,0
181,579833984375;	187,75;	0,0;	0,0
181,623046875;	187,5;	0,0;	0,0
181,66622924804688;	186,25;	0,0;	0,0
181,7094268798828;	184,5;	0,0;	0,0
181,75259399414062;	178,0;	0,0;	0,0
181,7957763671875;	176,25;	0,0;	0,0
181,8389434814453;	197,25;	0,0;	0,0
181,8821258544922;	187,0;	0,0;	0,0
181,92527770996094;	191,75;	0,0;	0,0
181,9684295654297;	188,0;	0,0;	0,0
182,0115966796875;	169,5;	0,0;	0,0
182,0547332763672;	198,0;	0,0;	0,0
182,09786987304688;	202,5;	0,0;	0,0
182,14100646972656;	200,75;	0,0;	0,0
182,18414306640625;	173,0;	0,0;	0,0
182,2272491455078;	174,25;	0,0;	0,0
182,27037048339844;	179,5;	0,0;	0,0
182,31350708007812;	182,25;	0,0;	0,0
182,35658264160156;	173,25;	0,0;	0,0
182,3997039794922;	189,0;	0,0;	0,0
182,4427947998047;	201,0;	0,0;	0,0
182,4858856201172;	178,75;	0,0;	0,0
182,52896118164062;	204,5;	0,0;	0,0
182,57205200195312;	184,0;	0,0;	0,0
182,6151123046875;	185,5;	0,0;	0,0
182,658203125;	189,5;	0,0;	0,0
182,70126342773438;	183,25;	0,0;	0,0
182,7443084716797;	199,75;	0,0;	0,0
182,78738403320312;	188,0;	0,0;	0,0
182,83041381835938;	180,75;	0,0;	0,0
182,8734588623047;	187,25;	0,0;	0,0
182,91648864746094;	182,5;	0,0;	0,0
182,9595184326172;	173,25;	0,0;	0,0
183,00253295898438;	180,0;	0,0;	0,0
183,04556274414062;	190,25;	0,0;	0,0
183,0885772705078;	192,5;	0,0;	0,0
183,131591796875;	169,75;	0,0;	0,0
183,1746063232422;	177,0;	0,0;	0,0
183,21759033203125;	199,5;	0,0;	0,0
183,26058959960938;	180,5;	0,0;	0,0
183,30355834960938;	173,75;	0,0;	0,0
183,3465576171875;	177,25;	0,0;	0,0
183,3895263671875;	183,5;	0,0;	0,0
183,43251037597656;	196,25;	0,0;	0,0
183,4754638671875;	183,25;	0,0;	0,0
183,5184326171875;	199,75;	0,0;	0,0
183,56137084960938;	172,5;	0,0;	0,0
183,60433959960938;	188,75;	0,0;	0,0
183,64727783203125;	187,5;	0,0;	0,0
183,69020080566406;	198,5;	0,0;	0,0
183,733154296875;	180,25;	0,0;	0,0
183,77606201171875;	185,25;	0,0;	0,0
183,81900024414062;	183,25;	0,0;	0,0
183,86190795898438;	195,25;	0,0;	0,0
183,90481567382812;	186,25;	0,0;	0,0
183,94772338867188;	176,5;	0,0;	0,0
183,99061584472656;	171,0;	0,0;	0,0
184,03353881835938;	189,0;	0,0;	0,0
184,07640075683594;	191,0;	0,0;	0,0
184,11929321289062;	178,5;	0,0;	0,0
184,16217041015625;	184,75;	0,0;	0,0
184,20504760742188;	190,5;	0,0;	0,0
184,24789428710938;	185,0;	0,0;	0,0
184,290771484375;	189,0;	0,0;	0,0
184,3336181640625;	183,75;	0,0;	0,0
184,37648010253906;	183,25;	0,0;	0,0
184,4193115234375;	185,75;	0,0;	0,0
184,462158203125;	170,5;	0,0;	0,0
184,5050048828125;	181,0;	0,0;	0,0
184,54782104492188;	197,25;	0,0;	0,0
184,59066772460938;	197,5;	0,0;	0,0
184,6334686279297;	184,75;	0,0;	0,0
184,67628479003906;	176,25;	0,0;	0,0
184,7190704345703;	192,0;	0,0;	0,0
184,7618865966797;	189,0;	0,0;	0,0
184,8046875;	190,75;	0,0;	0,0
184,84747314453125;	190,75;	0,0;	0,0
184,89024353027344;	181,0;	0,0;	0,0
184,9330291748047;	181,5;	0,0;	0,0
184,97581481933594;	184,5;	0,0;	0,0
185,01856994628906;	194,25;	0,0;	0,0
185,0613555908203;	164,25;	0,0;	0,0
185,10409545898438;	201,0;	0,0;	0,0
185,1468505859375;	187,25;	0,0;	0,0
185,18959045410156;	193,25;	0,0;	0,0
185,2323455810547;	187,0;	0,0;	0,0
185,2750701904297;	199,5;	0,0;	0,0
185,3177947998047;	181,5;	0,0;	0,0
185,36053466796875;	192,0;	0,0;	0,0
185,4032440185547;	196,5;	0,0;	0,0
185,4459686279297;	204,5;	0,0;	0,0
185,48866271972656;	189,25;	0,0;	0,0
185,5313720703125;	187,75;	0,0;	0,0
185,5740509033203;	190,0;	0,0;	0,0
185,61676025390625;	198,75;	0,0;	0,0
185,65943908691406;	192,25;	0,0;	0,0
185,70211791992188;	196,0;	0,0;	0,0
185,74478149414062;	197,25;	0,0;	0,0
185,78746032714844;	177,0;	0,0;	0,0
185,83013916015625;	206,75;	0,0;	0,0
185,87278747558594;	188,5;	0,0;	0,0
185,9154510498047;	197,5;	0,0;	0,0
185,9580841064453;	171,5;	0,0;	0,0
186,00074768066406;	193,0;	0,0;	0,0
186,04336547851562;	187,25;	0,0;	0,0
186,0860137939453;	191,75;	0,0;	0,0
186,1286163330078;	193,75;	0,0;	0,0
186,17124938964844;	198,75;	0,0;	0,0
186,21385192871094;	179,0;	0,0;	0,0
186,2564697265625;	181,0;	0,0;	0,0
186,29908752441406;	183,75;	0,0;	0,0
186,3416748046875;	190,75;	0,0;	0,0
186,38426208496094;	188,75;	0,0;	0,0
186,42684936523438;	180,5;	0,0;	0,0
186,4694366455078;	187,5;	0,0;	0,0
186,5120086669922;	170,25;	0,0;	0,0
186,55458068847656;	199,25;	0,0;	0,0
186,59713745117188;	194,25;	0,0;	0,0
186,63970947265625;	179,75;	0,0;	0,0
186,6822509765625;	172,25;	0,0;	0,0
186,72479248046875;	183,5;	0,0;	0,0
186,76734924316406;	187,0;	0,0;	0,0
186,80987548828125;	196,0;	0,0;	0,0
186,8524169921875;	190,25;	0,0;	0,0
186,8949432373047;	176,5;	0,0;	0,0
186,9374542236328;	192,25;	0,0;	0,0
186,97996520996094;	191,0;	0,0;	0,0
187,02249145507812;	181,5;	0,0;	0,0
187,0649871826172;	195,0;	0,0;	0,0
187,1074981689453;	186,25;	0,0;	0,0
187,1499786376953;	211,0;	0,0;	0,0
187,19247436523438;	199,0;	0,0;	0,0
187,23495483398438;	195,75;	0,0;	0,0
187,2774200439453;	174,0;	0,0;	0,0
187,3199005126953;	193,0;	0,0;	0,0
187,36236572265625;	197,5;	0,0;	0,0
187,40481567382812;	199,5;	0,0;	0,0
187,447265625;	192,25;	0,0;	0,0
187,48971557617188;	201,0;	0,0;	0,0
187,5321807861328;	179,0;	0,0;	0,0
187,57460021972656;	210,25;	0,0;	0,0
187,61703491210938;	205,75;	0,0;	0,0
187,65945434570312;	181,0;	0,0;	0,0
187,70188903808594;	181,0;	0,0;	0,0
187,74429321289062;	195,5;	0,0;	0,0
187,78671264648438;	167,0;	0,0;	0,0
187,8291015625;	196,25;	0,0;	0,0
187,8715057373047;	178,5;	0,0;	0,0
187,9138946533203;	191,5;	0,0;	0,0
187,95628356933594;	181,75;	0,0;	0,0
187,99867248535156;	180,5;	0,0;	0,0
188,04104614257812;	196,5;	0,0;	0,0
188,0834197998047;	181,25;	0,0;	0,0
188,1257781982422;	199,75;	0,0;	0,0
188,1681365966797;	201,25;	0,0;	0,0
188,21047973632812;	184,75;	0,0;	0,0
188,2528533935547;	195,75;	0,0;	0,0
188,29518127441406;	189,5;	0,0;	0,0
188,3375244140625;	195,25;	0,0;	0,0
188,37986755371094;	186,5;	0,0;	0,0
188,42218017578125;	177,25;	0,0;	0,0
188,46450805664062;	181,25;	0,0;	0,0
188,50680541992188;	199,75;	0,0;	0,0
188,5491180419922;	186,0;	0,0;	0,0
188,5914306640625;	196,75;	0,0;	0,0
188,6337432861328;	185,5;	0,0;	0,0
188,676025390625;	175,5;	0,0;	0,0
188,71832275390625;	182,75;	0,0;	0,0
188,76058959960938;	182,5;	0,0;	0,0
188,80287170410156;	188,75;	0,0;	0,0
188,84515380859375;	189,25;	0,0;	0,0
188,8874053955078;	182,25;	0,0;	0,0
188,92965698242188;	186,75;	0,0;	0,0
188,97190856933594;	185,75;	0,0;	0,0
189,01416015625;	169,25;	0,0;	0,0
189,056396484375;	194,5;	0,0;	0,0
189,09864807128906;	190,0;	0,0;	0,0
189,140869140625;	184,25;	0,0;	0,0
189,18310546875;	187,75;	0,0;	0,0
189,22532653808594;	188,0;	0,0;	0,0
189,2675323486328;	174,25;	0,0;	0,0
189,30975341796875;	180,5;	0,0;	0,0
189,35194396972656;	185,0;	0,0;	0,0
189,3941650390625;	184,75;	0,0;	0,0
189,4363250732422;	180,5;	0,0;	0,0
189,47853088378906;	185,5;	0,0;	0,0
189,5207061767578;	186,25;	0,0;	0,0
189,56288146972656;	189,5;	0,0;	0,0
189,60504150390625;	176,25;	0,0;	0,0
189,647216796875;	213,75;	0,0;	0,0
189,6893768310547;	172,75;	0,0;	0,0
189,7315216064453;	213,5;	0,0;	0,0
189,77369689941406;	188,25;	0,0;	0,0
189,81581115722656;	188,0;	0,0;	0,0
189,85797119140625;	169,75;	0,0;	0,0
189,90008544921875;	178,25;	0,0;	0,0
189,9422149658203;	188,75;	0,0;	0,0
189,98431396484375;	202,5;	0,0;	0,0
190,0264434814453;	182,0;	0,0;	0,0
190,0685577392578;	189,75;	0,0;	0,0
190,11065673828125;	188,5;	0,0;	0,0
190,1527557373047;	182,75;	0,0;	0,0
190,19485473632812;	200,75;	0,0;	0,0
190,2369384765625;	181,5;	0,0;	0,0
190,2790069580078;	208,75;	0,0;	0,0
190,3210906982422;	172,25;	0,0;	0,0
190,36314392089844;	188,75;	0,0;	0,0
190,40521240234375;	191,25;	0,0;	0,0
190,44728088378906;	182,25;	0,0;	0,0
190,4893341064453;	193,75;	0,0;	0,0
190,5313720703125;	196,0;	0,0;	0,0
190,57342529296875;	202,25;	0,0;	0,0
190,61546325683594;	202,5;	0,0;	0,0
190,65748596191406;	200,0;	0,0;	0,0
190,6995086669922;	188,25;	0,0;	0,0
190,74151611328125;	191,0;	0,0;	0,0
190,78355407714844;	192,5;	0,0;	0,0
190,82554626464844;	183,75;	0,0;	0,0
190,8675537109375;	189,0;	0,0;	0,0
190,9095458984375;	183,5;	0,0;	0,0
190,9515380859375;	165,5;	0,0;	0,0
190,9935302734375;	173,75;	0,0;	0,0
191,03549194335938;	200,75;	0,0;	0,0
191,07748413085938;	192,0;	0,0;	0,0
191,1194305419922;	182,75;	0,0;	0,0
191,16140747070312;	184,75;	0,0;	0,0
191,20335388183594;	167,75;	0,0;	0,0
191,2453155517578;	185,25;	0,0;	0,0
191,28724670410156;	191,5;	0,0;	0,0
191,32919311523438;	180,25;	0,0;	0,0
191,3711395263672;	187,75;	0,0;	0,0
191,41307067871094;	190,75;	0,0;	0,0
