0.0	0.0
Integration time [ms]:	1.05
Averaging Nr. [scans]:1
Smoothing Nr. [pixels]:0
Data measured with spectrometer [name]:b'1703273U8'
Wave	;Sample	;Dark	;Reference	;Scope	
[nm]	;[counts]	;[counts]	;[counts]	
 
250,49510192871094;	145,25;	0,0;	0,0
250,5340576171875;	149,75;	0,0;	0,0
250,572998046875;	148,25;	0,0;	0,0
250,61192321777344;	147,75;	0,0;	0,0
250,65086364746094;	152,25;	0,0;	0,0
250,68978881835938;	154,0;	0,0;	0,0
250,7287139892578;	154,75;	0,0;	0,0
250,7676239013672;	162,5;	0,0;	0,0
250,80653381347656;	157,25;	0,0;	0,0
250,8454132080078;	158,5;	0,0;	0,0
250,8843231201172;	155,5;	0,0;	0,0
250,92320251464844;	162,25;	0,0;	0,0
250,96209716796875;	159,75;	0,0;	0,0
251,00096130371094;	173,5;	0,0;	0,0
251,0398406982422;	259,25;	0,0;	0,0
251,0786895751953;	244,25;	0,0;	0,0
251,1175537109375;	324,5;	0,0;	0,0
251,15640258789062;	364,25;	0,0;	0,0
251,19525146484375;	261,25;	0,0;	0,0
251,2340850830078;	201,5;	0,0;	0,0
251,2729034423828;	185,5;	0,0;	0,0
251,31173706054688;	197,75;	0,0;	0,0
251,35055541992188;	216,0;	0,0;	0,0
251,38937377929688;	288,5;	0,0;	0,0
251,4281768798828;	260,25;	0,0;	0,0
251,46697998046875;	198,25;	0,0;	0,0
251,50576782226562;	196,25;	0,0;	0,0
251,5445556640625;	213,5;	0,0;	0,0
251,58334350585938;	272,75;	0,0;	0,0
251,6221160888672;	236,0;	0,0;	0,0
251,660888671875;	272,5;	0,0;	0,0
251,6996612548828;	312,5;	0,0;	0,0
251,7384033203125;	404,75;	0,0;	0,0
251,7771453857422;	503,75;	0,0;	0,0
251,81590270996094;	312,5;	0,0;	0,0
251,85462951660156;	344,75;	0,0;	0,0
251,8933563232422;	325,75;	0,0;	0,0
251,93206787109375;	251,25;	0,0;	0,0
251,97079467773438;	220,75;	0,0;	0,0
252,00950622558594;	231,75;	0,0;	0,0
252,0482177734375;	309,75;	0,0;	0,0
252,0869140625;	378,75;	0,0;	0,0
252,1256103515625;	374,0;	0,0;	0,0
252,16429138183594;	437,25;	0,0;	0,0
252,20297241210938;	610,25;	0,0;	0,0
252,2416534423828;	985,75;	0,0;	0,0
252,2803192138672;	652,25;	0,0;	0,0
252,31898498535156;	460,5;	0,0;	0,0
252,35765075683594;	452,0;	0,0;	0,0
