-0.5	2.0
Integration time [ms]:	1.05
Averaging Nr. [scans]:1
Smoothing Nr. [pixels]:0
Data measured with spectrometer [name]:b'1703276U8'
Wave	;Sample	;Dark	;Reference	;Scope	
[nm]	;[counts]	;[counts]	;[counts]	
 
400,41888427734375;	253,25;	0,0;	0,0
400,4754333496094;	291,75;	0,0;	0,0
400,5319519042969;	605,75;	0,0;	0,0
400,5885009765625;	971,0;	0,0;	0,0
400,6449890136719;	417,25;	0,0;	0,0
400,7015075683594;	287,5;	0,0;	0,0
400,75799560546875;	278,75;	0,0;	0,0
400,8144836425781;	273,25;	0,0;	0,0
400,8709716796875;	236,5;	0,0;	0,0
400,92742919921875;	251,5;	0,0;	0,0
400,98388671875;	267,25;	0,0;	0,0
401,04034423828125;	345,75;	0,0;	0,0
401,09674072265625;	260,5;	0,0;	0,0
401,1531677246094;	266,25;	0,0;	0,0
401,2095947265625;	248,75;	0,0;	0,0
401,2659912109375;	254,0;	0,0;	0,0
401,3223876953125;	220,25;	0,0;	0,0
401,3787841796875;	256,25;	0,0;	0,0
401,4351806640625;	287,5;	0,0;	0,0
401,4915466308594;	353,75;	0,0;	0,0
401,54791259765625;	312,0;	0,0;	0,0
401,604248046875;	251,5;	0,0;	0,0
401,66058349609375;	250,0;	0,0;	0,0
401,7169189453125;	278,25;	0,0;	0,0
401,77325439453125;	299,75;	0,0;	0,0
401,8295593261719;	280,5;	0,0;	0,0
401,8858642578125;	289,25;	0,0;	0,0
401,942138671875;	244,5;	0,0;	0,0
401,9984436035156;	236,0;	0,0;	0,0
402,0547180175781;	251,75;	0,0;	0,0
402,1109619140625;	235,75;	0,0;	0,0
402,1672058105469;	288,5;	0,0;	0,0
402,22344970703125;	393,75;	0,0;	0,0
402,2796936035156;	340,5;	0,0;	0,0
402,3359375;	253,75;	0,0;	0,0
402,39215087890625;	222,75;	0,0;	0,0
402,44830322265625;	259,75;	0,0;	0,0
402,5045166015625;	280,25;	0,0;	0,0
402,5606994628906;	275,75;	0,0;	0,0
402,6168518066406;	262,25;	0,0;	0,0
402,6730041503906;	262,25;	0,0;	0,0
402,7291564941406;	257,25;	0,0;	0,0
402,7853088378906;	257,5;	0,0;	0,0
402,8414611816406;	246,75;	0,0;	0,0
402,8975830078125;	243,0;	0,0;	0,0
402,9537048339844;	250,5;	0,0;	0,0
403,0097961425781;	351,5;	0,0;	0,0
403,0658874511719;	574,25;	0,0;	0,0
403,1219787597656;	1084,75;	0,0;	0,0
403,1780700683594;	613,5;	0,0;	0,0
403,234130859375;	342,25;	0,0;	0,0
403,2901916503906;	438,25;	0,0;	0,0
403,34625244140625;	786,5;	0,0;	0,0
403,40228271484375;	603,25;	0,0;	0,0
403,45831298828125;	437,75;	0,0;	0,0
403,51434326171875;	637,5;	0,0;	0,0
403,5703430175781;	333,5;	0,0;	0,0
403,6263122558594;	300,75;	0,0;	0,0
403,68231201171875;	252,5;	0,0;	0,0
403,7383117675781;	234,25;	0,0;	0,0
403,79425048828125;	255,75;	0,0;	0,0
403,8501892089844;	244,25;	0,0;	0,0
403,9061584472656;	241,75;	0,0;	0,0
403,96209716796875;	267,25;	0,0;	0,0
404,0180358886719;	262,0;	0,0;	0,0
404,0739440917969;	297,25;	0,0;	0,0
404,1298828125;	332,5;	0,0;	0,0
404,1857604980469;	388,75;	0,0;	0,0
404,24163818359375;	307,5;	0,0;	0,0
404,2975158691406;	270,5;	0,0;	0,0
404,3533935546875;	302,5;	0,0;	0,0
404,4092712402344;	428,75;	0,0;	0,0
404,4651184082031;	675,75;	0,0;	0,0
404,5209655761719;	962,25;	0,0;	0,0
404,5768127441406;	2300,75;	0,0;	0,0
404,6325988769531;	5105,75;	0,0;	0,0
404,68841552734375;	2129,25;	0,0;	0,0
404,7442321777344;	458,75;	0,0;	0,0
404,8000183105469;	395,0;	0,0;	0,0
404,8558349609375;	292,75;	0,0;	0,0
404,9115905761719;	300,75;	0,0;	0,0
404,96734619140625;	283,0;	0,0;	0,0
405,0231018066406;	271,75;	0,0;	0,0
405,078857421875;	251,0;	0,0;	0,0
405,1345520019531;	264,25;	0,0;	0,0
405,1902770996094;	265,25;	0,0;	0,0
405,2460021972656;	282,5;	0,0;	0,0
405,30169677734375;	272,25;	0,0;	0,0
405,3573913574219;	292,0;	0,0;	0,0
405,4130859375;	278,0;	0,0;	0,0
405,4687805175781;	279,0;	0,0;	0,0
405,5244445800781;	348,75;	0,0;	0,0
405,580078125;	347,5;	0,0;	0,0
405,6357116699219;	288,5;	0,0;	0,0
405,6913757324219;	270,5;	0,0;	0,0
405,74700927734375;	259,0;	0,0;	0,0
405,8025817871094;	338,75;	0,0;	0,0
405,85821533203125;	392,75;	0,0;	0,0
405,913818359375;	306,75;	0,0;	0,0
405,96942138671875;	296,75;	0,0;	0,0
