-0.5	2.0
Integration time [ms]:	1.05
Averaging Nr. [scans]:1
Smoothing Nr. [pixels]:0
Data measured with spectrometer [name]:b'1703273U8'
Wave	;Sample	;Dark	;Reference	;Scope	
[nm]	;[counts]	;[counts]	;[counts]	
 
250,49510192871094;	140,5;	0,0;	0,0
250,5340576171875;	156,25;	0,0;	0,0
250,572998046875;	150,5;	0,0;	0,0
250,61192321777344;	165,5;	0,0;	0,0
250,65086364746094;	161,25;	0,0;	0,0
250,68978881835938;	145,75;	0,0;	0,0
250,7287139892578;	171,5;	0,0;	0,0
250,7676239013672;	150,25;	0,0;	0,0
250,80653381347656;	144,25;	0,0;	0,0
250,8454132080078;	152,0;	0,0;	0,0
250,8843231201172;	187,75;	0,0;	0,0
250,92320251464844;	163,75;	0,0;	0,0
250,96209716796875;	150,0;	0,0;	0,0
251,00096130371094;	184,5;	0,0;	0,0
251,0398406982422;	307,0;	0,0;	0,0
251,0786895751953;	262,75;	0,0;	0,0
251,1175537109375;	303,75;	0,0;	0,0
251,15640258789062;	393,5;	0,0;	0,0
251,19525146484375;	237,75;	0,0;	0,0
251,2340850830078;	203,0;	0,0;	0,0
251,2729034423828;	196,75;	0,0;	0,0
251,31173706054688;	177,75;	0,0;	0,0
251,35055541992188;	190,25;	0,0;	0,0
251,38937377929688;	284,75;	0,0;	0,0
251,4281768798828;	272,5;	0,0;	0,0
251,46697998046875;	210,75;	0,0;	0,0
251,50576782226562;	208,75;	0,0;	0,0
251,5445556640625;	196,5;	0,0;	0,0
251,58334350585938;	226,75;	0,0;	0,0
251,6221160888672;	226,75;	0,0;	0,0
251,660888671875;	271,25;	0,0;	0,0
251,6996612548828;	344,25;	0,0;	0,0
251,7384033203125;	407,25;	0,0;	0,0
251,7771453857422;	521,25;	0,0;	0,0
251,81590270996094;	353,75;	0,0;	0,0
251,85462951660156;	357,5;	0,0;	0,0
251,8933563232422;	300,0;	0,0;	0,0
251,93206787109375;	248,0;	0,0;	0,0
251,97079467773438;	193,5;	0,0;	0,0
252,00950622558594;	236,25;	0,0;	0,0
252,0482177734375;	312,75;	0,0;	0,0
252,0869140625;	357,0;	0,0;	0,0
252,1256103515625;	336,5;	0,0;	0,0
252,16429138183594;	436,75;	0,0;	0,0
252,20297241210938;	646,5;	0,0;	0,0
252,2416534423828;	1046,75;	0,0;	0,0
252,2803192138672;	654,5;	0,0;	0,0
252,31898498535156;	428,25;	0,0;	0,0
252,35765075683594;	481,75;	0,0;	0,0
252,3962860107422;	509,75;	0,0;	0,0
252,4349365234375;	465,75;	0,0;	0,0
252,4735565185547;	735,75;	0,0;	0,0
