0.0	1.5
Integration time [ms]:	1.05
Averaging Nr. [scans]:1
Smoothing Nr. [pixels]:0
Data measured with spectrometer [name]:b'1703273U8'
Wave	;Sample	;Dark	;Reference	;Scope	
[nm]	;[counts]	;[counts]	;[counts]	
 
250,49510192871094;	165,75;	0,0;	0,0
250,5340576171875;	139,0;	0,0;	0,0
250,572998046875;	156,25;	0,0;	0,0
250,61192321777344;	157,25;	0,0;	0,0
250,65086364746094;	152,75;	0,0;	0,0
250,68978881835938;	171,75;	0,0;	0,0
250,7287139892578;	155,5;	0,0;	0,0
250,7676239013672;	162,0;	0,0;	0,0
250,80653381347656;	177,0;	0,0;	0,0
250,8454132080078;	157,75;	0,0;	0,0
250,8843231201172;	165,25;	0,0;	0,0
250,92320251464844;	161,25;	0,0;	0,0
250,96209716796875;	173,0;	0,0;	0,0
251,00096130371094;	187,0;	0,0;	0,0
251,0398406982422;	306,25;	0,0;	0,0
251,0786895751953;	269,0;	0,0;	0,0
251,1175537109375;	353,0;	0,0;	0,0
251,15640258789062;	425,5;	0,0;	0,0
251,19525146484375;	258,0;	0,0;	0,0
251,2340850830078;	215,0;	0,0;	0,0
251,2729034423828;	183,5;	0,0;	0,0
251,31173706054688;	211,0;	0,0;	0,0
251,35055541992188;	197,75;	0,0;	0,0
251,38937377929688;	328,0;	0,0;	0,0
251,4281768798828;	299,0;	0,0;	0,0
251,46697998046875;	252,25;	0,0;	0,0
251,50576782226562;	186,0;	0,0;	0,0
251,5445556640625;	256,25;	0,0;	0,0
251,58334350585938;	244,0;	0,0;	0,0
251,6221160888672;	228,0;	0,0;	0,0
251,660888671875;	315,0;	0,0;	0,0
251,6996612548828;	341,5;	0,0;	0,0
251,7384033203125;	452,5;	0,0;	0,0
251,7771453857422;	547,5;	0,0;	0,0
251,81590270996094;	359,0;	0,0;	0,0
251,85462951660156;	431,5;	0,0;	0,0
251,8933563232422;	371,75;	0,0;	0,0
251,93206787109375;	276,75;	0,0;	0,0
251,97079467773438;	224,75;	0,0;	0,0
252,00950622558594;	257,0;	0,0;	0,0
252,0482177734375;	354,75;	0,0;	0,0
252,0869140625;	445,75;	0,0;	0,0
252,1256103515625;	430,75;	0,0;	0,0
252,16429138183594;	520,75;	0,0;	0,0
252,20297241210938;	707,0;	0,0;	0,0
252,2416534423828;	1190,25;	0,0;	0,0
252,2803192138672;	745,75;	0,0;	0,0
252,31898498535156;	519,25;	0,0;	0,0
252,35765075683594;	510,75;	0,0;	0,0
252,3962860107422;	557,5;	0,0;	0,0
252,4349365234375;	539,5;	0,0;	0,0
252,4735565185547;	874,75;	0,0;	0,0
252,51219177246094;	1039,5;	0,0;	0,0
252,5508270263672;	704,25;	0,0;	0,0
252,58944702148438;	836,25;	0,0;	0,0
252,62803649902344;	600,25;	0,0;	0,0
252,66665649414062;	711,25;	0,0;	0,0
252,70526123046875;	881,75;	0,0;	0,0
252,7438507080078;	546,5;	0,0;	0,0
252,78244018554688;	376,0;	0,0;	0,0
252,8209991455078;	509,5;	0,0;	0,0
252,8595733642578;	931,0;	0,0;	0,0
252,8981475830078;	1382,75;	0,0;	0,0
252,93670654296875;	970,75;	0,0;	0,0
252,97528076171875;	510,0;	0,0;	0,0
253,01382446289062;	360,75;	0,0;	0,0
253,05235290527344;	288,0;	0,0;	0,0
253,09088134765625;	257,25;	0,0;	0,0
253,12942504882812;	231,75;	0,0;	0,0
253,16795349121094;	268,5;	0,0;	0,0
253,2064666748047;	292,25;	0,0;	0,0
253,24497985839844;	389,5;	0,0;	0,0
253,28347778320312;	640,0;	0,0;	0,0
253,32196044921875;	1012,75;	0,0;	0,0
253,36045837402344;	754,75;	0,0;	0,0
253,39895629882812;	793,0;	0,0;	0,0
