0.0	1.5
Integration time [ms]:	1.05
Averaging Nr. [scans]:1
Smoothing Nr. [pixels]:0
Data measured with spectrometer [name]:b'1703279U8'
Wave	;Sample	;Dark	;Reference	;Scope	
[nm]	;[counts]	;[counts]	;[counts]	
 
725,3621826171875;	388,25;	0,0;	0,0
725,4813842773438;	343,5;	0,0;	0,0
725,6005249023438;	372,25;	0,0;	0,0
725,7197265625;	376,25;	0,0;	0,0
725,8388671875;	372,25;	0,0;	0,0
725,9579467773438;	367,0;	0,0;	0,0
726,0770874023438;	385,25;	0,0;	0,0
726,1961669921875;	386,5;	0,0;	0,0
726,315185546875;	373,5;	0,0;	0,0
726,4342651367188;	374,5;	0,0;	0,0
726,5532836914062;	387,0;	0,0;	0,0
726,6723022460938;	384,0;	0,0;	0,0
726,7913208007812;	403,75;	0,0;	0,0
726,9102783203125;	405,25;	0,0;	0,0
727,0292358398438;	372,75;	0,0;	0,0
727,148193359375;	391,5;	0,0;	0,0
727,26708984375;	372,5;	0,0;	0,0
727,385986328125;	382,25;	0,0;	0,0
727,5048828125;	409,0;	0,0;	0,0
727,6237182617188;	363,25;	0,0;	0,0
727,7426147460938;	365,75;	0,0;	0,0
727,8614501953125;	359,25;	0,0;	0,0
727,9801635742188;	402,0;	0,0;	0,0
728,0989379882812;	390,5;	0,0;	0,0
728,2177124023438;	414,0;	0,0;	0,0
728,3364868164062;	393,75;	0,0;	0,0
728,4552612304688;	398,0;	0,0;	0,0
728,573974609375;	376,5;	0,0;	0,0
728,6926879882812;	367,75;	0,0;	0,0
728,8113403320312;	387,0;	0,0;	0,0
728,9299926757812;	379,25;	0,0;	0,0
729,0486450195312;	386,0;	0,0;	0,0
729,1672973632812;	420,25;	0,0;	0,0
729,285888671875;	399,25;	0,0;	0,0
729,4044799804688;	400,5;	0,0;	0,0
729,5230712890625;	421,5;	0,0;	0,0
729,6416625976562;	385,0;	0,0;	0,0
729,7601928710938;	386,5;	0,0;	0,0
729,8787231445312;	405,0;	0,0;	0,0
729,9971313476562;	383,25;	0,0;	0,0
730,1156005859375;	387,25;	0,0;	0,0
730,2340698242188;	391,0;	0,0;	0,0
730,3525390625;	363,25;	0,0;	0,0
730,470947265625;	416,5;	0,0;	0,0
730,58935546875;	406,5;	0,0;	0,0
730,707763671875;	443,5;	0,0;	0,0
730,826171875;	374,5;	0,0;	0,0
730,9445190429688;	399,0;	0,0;	0,0
731,0628662109375;	426,25;	0,0;	0,0
731,18115234375;	405,25;	0,0;	0,0
731,2994995117188;	392,75;	0,0;	0,0
731,4177856445312;	374,75;	0,0;	0,0
731,5360107421875;	378,0;	0,0;	0,0
731,654296875;	397,0;	0,0;	0,0
731,7725219726562;	399,5;	0,0;	0,0
731,8906860351562;	388,75;	0,0;	0,0
732,0088500976562;	399,25;	0,0;	0,0
732,1270141601562;	393,0;	0,0;	0,0
732,2451782226562;	403,5;	0,0;	0,0
732,3633422851562;	402,75;	0,0;	0,0
732,4814453125;	413,25;	0,0;	0,0
732,5995483398438;	441,5;	0,0;	0,0
732,7176513671875;	376,0;	0,0;	0,0
732,8357543945312;	412,75;	0,0;	0,0
732,9537963867188;	412,75;	0,0;	0,0
733,07177734375;	382,0;	0,0;	0,0
733,189697265625;	415,25;	0,0;	0,0
733,3076782226562;	387,0;	0,0;	0,0
733,4256591796875;	394,75;	0,0;	0,0
733,5436401367188;	360,25;	0,0;	0,0
733,6615600585938;	374,0;	0,0;	0,0
733,7794799804688;	392,0;	0,0;	0,0
733,8973999023438;	387,0;	0,0;	0,0
734,0152587890625;	378,25;	0,0;	0,0
734,1331176757812;	366,5;	0,0;	0,0
734,2509765625;	416,0;	0,0;	0,0
734,3687744140625;	410,5;	0,0;	0,0
734,486572265625;	381,0;	0,0;	0,0
734,6043701171875;	407,5;	0,0;	0,0
734,72216796875;	381,25;	0,0;	0,0
734,8399047851562;	397,5;	0,0;	0,0
734,9576416015625;	398,25;	0,0;	0,0
735,0753173828125;	419,5;	0,0;	0,0
735,1930541992188;	419,75;	0,0;	0,0
735,3107299804688;	397,0;	0,0;	0,0
735,4283447265625;	406,25;	0,0;	0,0
735,5460205078125;	405,5;	0,0;	0,0
735,6636352539062;	404,75;	0,0;	0,0
735,78125;	407,25;	0,0;	0,0
735,8988647460938;	373,0;	0,0;	0,0
736,016357421875;	383,0;	0,0;	0,0
736,1339111328125;	379,75;	0,0;	0,0
736,25146484375;	379,75;	0,0;	0,0
736,3690185546875;	399,0;	0,0;	0,0
736,4864501953125;	422,5;	0,0;	0,0
736,6039428710938;	377,5;	0,0;	0,0
736,7213745117188;	427,25;	0,0;	0,0
736,8388671875;	402,75;	0,0;	0,0
736,9562377929688;	405,0;	0,0;	0,0
737,0736083984375;	447,25;	0,0;	0,0
737,1910400390625;	395,25;	0,0;	0,0
737,3084106445312;	398,0;	0,0;	0,0
737,4257202148438;	410,25;	0,0;	0,0
737,5430297851562;	402,0;	0,0;	0,0
737,660400390625;	396,0;	0,0;	0,0
737,7776489257812;	367,5;	0,0;	0,0
737,8948974609375;	409,5;	0,0;	0,0
738,01220703125;	421,0;	0,0;	0,0
738,1294555664062;	414,5;	0,0;	0,0
738,24658203125;	447,0;	0,0;	0,0
738,36376953125;	429,75;	0,0;	0,0
738,48095703125;	440,25;	0,0;	0,0
738,5980834960938;	407,0;	0,0;	0,0
738,7152709960938;	432,25;	0,0;	0,0
738,8323974609375;	489,0;	0,0;	0,0
738,949462890625;	492,75;	0,0;	0,0
739,0665893554688;	411,5;	0,0;	0,0
739,18359375;	431,5;	0,0;	0,0
739,3006591796875;	421,5;	0,0;	0,0
739,417724609375;	428,5;	0,0;	0,0
739,53466796875;	417,25;	0,0;	0,0
739,6517333984375;	404,75;	0,0;	0,0
739,7686767578125;	389,25;	0,0;	0,0
739,8856201171875;	403,75;	0,0;	0,0
740,0025634765625;	420,75;	0,0;	0,0
740,1195068359375;	429,5;	0,0;	0,0
740,2363891601562;	408,75;	0,0;	0,0
740,353271484375;	416,0;	0,0;	0,0
740,4701538085938;	405,25;	0,0;	0,0
740,5869750976562;	391,75;	0,0;	0,0
740,7037963867188;	413,0;	0,0;	0,0
740,8206176757812;	434,25;	0,0;	0,0
740,9373779296875;	459,0;	0,0;	0,0
741,05419921875;	506,0;	0,0;	0,0
741,1708984375;	438,75;	0,0;	0,0
741,2876586914062;	400,25;	0,0;	0,0
741,4043579101562;	411,5;	0,0;	0,0
741,5211181640625;	413,0;	0,0;	0,0
741,6377563476562;	426,0;	0,0;	0,0
741,7544555664062;	456,25;	0,0;	0,0
741,8710327148438;	433,5;	0,0;	0,0
741,9876098632812;	438,75;	0,0;	0,0
742,104248046875;	553,0;	0,0;	0,0
742,2208251953125;	768,5;	0,0;	0,0
742,33740234375;	1044,0;	0,0;	0,0
742,4539794921875;	742,25;	0,0;	0,0
742,5704956054688;	508,75;	0,0;	0,0
742,68701171875;	460,0;	0,0;	0,0
742,8035278320312;	450,75;	0,0;	0,0
742,9199829101562;	463,0;	0,0;	0,0
743,036376953125;	447,0;	0,0;	0,0
743,1528930664062;	408,75;	0,0;	0,0
743,2692260742188;	428,0;	0,0;	0,0
743,3856201171875;	396,75;	0,0;	0,0
743,5020141601562;	415,0;	0,0;	0,0
743,6183471679688;	420,0;	0,0;	0,0
743,7346801757812;	478,25;	0,0;	0,0
743,8510131835938;	540,5;	0,0;	0,0
743,9673461914062;	674,25;	0,0;	0,0
744,0835571289062;	1123,0;	0,0;	0,0
744,1998901367188;	1595,5;	0,0;	0,0
744,3161010742188;	1047,0;	0,0;	0,0
744,4323120117188;	662,25;	0,0;	0,0
744,548583984375;	671,0;	0,0;	0,0
744,664794921875;	505,5;	0,0;	0,0
744,7809448242188;	483,75;	0,0;	0,0
744,8970947265625;	441,0;	0,0;	0,0
745,0132446289062;	416,5;	0,0;	0,0
