0.0	1.5
Integration time [ms]:	1.05
Averaging Nr. [scans]:1
Smoothing Nr. [pixels]:0
Data measured with spectrometer [name]:b'1703278U8'
Wave	;Sample	;Dark	;Reference	;Scope	
[nm]	;[counts]	;[counts]	;[counts]	
 
619,9722900390625;	365,0;	0,0;	0,0
620,0406494140625;	380,75;	0,0;	0,0
620,1089477539062;	385,25;	0,0;	0,0
620,17724609375;	397,25;	0,0;	0,0
620,2455444335938;	398,0;	0,0;	0,0
620,3137817382812;	358,0;	0,0;	0,0
620,382080078125;	382,75;	0,0;	0,0
620,4503173828125;	394,5;	0,0;	0,0
620,5185546875;	379,0;	0,0;	0,0
620,5867919921875;	382,5;	0,0;	0,0
620,6549072265625;	395,0;	0,0;	0,0
620,72314453125;	412,25;	0,0;	0,0
620,7913208007812;	398,25;	0,0;	0,0
620,8594360351562;	412,0;	0,0;	0,0
620,9276123046875;	424,75;	0,0;	0,0
620,9957885742188;	412,0;	0,0;	0,0
621,0638427734375;	402,0;	0,0;	0,0
621,1319580078125;	403,0;	0,0;	0,0
621,2000732421875;	421,5;	0,0;	0,0
621,2681274414062;	430,75;	0,0;	0,0
621,336181640625;	430,0;	0,0;	0,0
621,404296875;	439,0;	0,0;	0,0
621,4722900390625;	434,0;	0,0;	0,0
621,540283203125;	433,75;	0,0;	0,0
621,6083374023438;	426,75;	0,0;	0,0
621,67626953125;	448,5;	0,0;	0,0
621,7442626953125;	411,0;	0,0;	0,0
621,812255859375;	449,5;	0,0;	0,0
621,8801879882812;	433,25;	0,0;	0,0
621,9481201171875;	501,25;	0,0;	0,0
622,0159912109375;	467,75;	0,0;	0,0
622,0839233398438;	458,5;	0,0;	0,0
622,15185546875;	473,25;	0,0;	0,0
622,2196655273438;	437,5;	0,0;	0,0
622,2875366210938;	437,0;	0,0;	0,0
622,3554077148438;	496,75;	0,0;	0,0
622,4232177734375;	449,25;	0,0;	0,0
622,4910278320312;	443,5;	0,0;	0,0
622,5588989257812;	475,75;	0,0;	0,0
622,6266479492188;	472,0;	0,0;	0,0
622,6943969726562;	481,25;	0,0;	0,0
622,76220703125;	454,0;	0,0;	0,0
622,8298950195312;	519,75;	0,0;	0,0
622,8976440429688;	561,25;	0,0;	0,0
622,9653930664062;	611,0;	0,0;	0,0
623,0330810546875;	650,0;	0,0;	0,0
623,1007080078125;	779,0;	0,0;	0,0
623,1683349609375;	762,25;	0,0;	0,0
623,2360229492188;	581,0;	0,0;	0,0
623,3037109375;	568,5;	0,0;	0,0
623,3712768554688;	556,0;	0,0;	0,0
623,43896484375;	531,5;	0,0;	0,0
623,506591796875;	537,5;	0,0;	0,0
623,5740966796875;	517,0;	0,0;	0,0
623,6417236328125;	493,75;	0,0;	0,0
623,7092895507812;	512,5;	0,0;	0,0
623,7767944335938;	487,25;	0,0;	0,0
623,8443603515625;	499,25;	0,0;	0,0
623,9119262695312;	489,0;	0,0;	0,0
623,9793701171875;	512,25;	0,0;	0,0
624,046875;	494,75;	0,0;	0,0
624,1143798828125;	533,5;	0,0;	0,0
624,1818237304688;	514,0;	0,0;	0,0
624,249267578125;	497,0;	0,0;	0,0
624,316650390625;	487,0;	0,0;	0,0
624,3840942382812;	479,75;	0,0;	0,0
624,4515380859375;	496,75;	0,0;	0,0
624,518798828125;	505,0;	0,0;	0,0
624,5862426757812;	547,5;	0,0;	0,0
624,6536254882812;	586,5;	0,0;	0,0
624,7208862304688;	606,75;	0,0;	0,0
624,7882690429688;	528,25;	0,0;	0,0
624,8555908203125;	527,5;	0,0;	0,0
624,9228515625;	506,25;	0,0;	0,0
624,9901733398438;	486,75;	0,0;	0,0
625,0574951171875;	462,75;	0,0;	0,0
625,1246948242188;	554,5;	0,0;	0,0
625,1919555664062;	523,75;	0,0;	0,0
625,2592163085938;	610,5;	0,0;	0,0
625,3263549804688;	647,25;	0,0;	0,0
625,3936157226562;	568,25;	0,0;	0,0
625,4608154296875;	511,75;	0,0;	0,0
625,5279541015625;	512,25;	0,0;	0,0
625,5950927734375;	507,25;	0,0;	0,0
625,6622314453125;	480,5;	0,0;	0,0
625,7293701171875;	499,0;	0,0;	0,0
625,7965087890625;	482,25;	0,0;	0,0
625,8635864257812;	498,0;	0,0;	0,0
625,9306640625;	478,0;	0,0;	0,0
625,9977416992188;	452,75;	0,0;	0,0
626,0647583007812;	445,5;	0,0;	0,0
626,1318359375;	470,5;	0,0;	0,0
626,1989135742188;	451,0;	0,0;	0,0
626,265869140625;	442,0;	0,0;	0,0
626,3328857421875;	445,75;	0,0;	0,0
626,39990234375;	432,25;	0,0;	0,0
626,466796875;	477,25;	0,0;	0,0
626,5338134765625;	480,5;	0,0;	0,0
626,6007690429688;	468,0;	0,0;	0,0
626,6676635742188;	472,75;	0,0;	0,0
626,734619140625;	421,5;	0,0;	0,0
626,8014526367188;	456,0;	0,0;	0,0
626,8683471679688;	461,25;	0,0;	0,0
626,9352416992188;	434,5;	0,0;	0,0
627,0020141601562;	428,75;	0,0;	0,0
627,0689086914062;	448,75;	0,0;	0,0
627,1357421875;	464,5;	0,0;	0,0
627,2025756835938;	428,5;	0,0;	0,0
627,2694091796875;	421,75;	0,0;	0,0
627,3361206054688;	462,25;	0,0;	0,0
627,4028930664062;	455,75;	0,0;	0,0
627,4696655273438;	424,25;	0,0;	0,0
627,5364379882812;	420,25;	0,0;	0,0
627,6031494140625;	439,25;	0,0;	0,0
627,6697998046875;	458,0;	0,0;	0,0
627,7365112304688;	434,25;	0,0;	0,0
627,8031616210938;	426,5;	0,0;	0,0
627,869873046875;	384,5;	0,0;	0,0
627,9365234375;	376,5;	0,0;	0,0
628,0031127929688;	409,5;	0,0;	0,0
628,0697631835938;	424,5;	0,0;	0,0
628,1363525390625;	420,25;	0,0;	0,0
628,2030029296875;	432,75;	0,0;	0,0
628,26953125;	403,75;	0,0;	0,0
628,3361206054688;	421,25;	0,0;	0,0
628,4026489257812;	407,75;	0,0;	0,0
628,46923828125;	394,0;	0,0;	0,0
628,5357055664062;	429,25;	0,0;	0,0
628,6022338867188;	370,75;	0,0;	0,0
628,6687622070312;	411,5;	0,0;	0,0
628,7352294921875;	382,75;	0,0;	0,0
628,8016357421875;	392,0;	0,0;	0,0
628,8681640625;	400,5;	0,0;	0,0
628,9345703125;	411,25;	0,0;	0,0
629,0010375976562;	378,75;	0,0;	0,0
629,0673217773438;	437,25;	0,0;	0,0
629,1337890625;	399,5;	0,0;	0,0
629,2001953125;	398,75;	0,0;	0,0
629,2664794921875;	413,0;	0,0;	0,0
629,3328247070312;	397,25;	0,0;	0,0
629,3992309570312;	408,0;	0,0;	0,0
629,4655151367188;	398,75;	0,0;	0,0
629,5317993164062;	387,75;	0,0;	0,0
629,59814453125;	396,0;	0,0;	0,0
629,6643676757812;	376,5;	0,0;	0,0
629,7306518554688;	394,5;	0,0;	0,0
629,7969360351562;	393,75;	0,0;	0,0
629,8631591796875;	394,75;	0,0;	0,0
629,9293212890625;	407,0;	0,0;	0,0
629,9955444335938;	408,75;	0,0;	0,0
630,061767578125;	447,75;	0,0;	0,0
630,1278686523438;	457,25;	0,0;	0,0
630,194091796875;	531,25;	0,0;	0,0
630,26025390625;	524,0;	0,0;	0,0
630,3263549804688;	492,75;	0,0;	0,0
630,3924560546875;	409,25;	0,0;	0,0
630,45849609375;	417,0;	0,0;	0,0
630,524658203125;	407,0;	0,0;	0,0
630,5906982421875;	363,0;	0,0;	0,0
630,65673828125;	382,75;	0,0;	0,0
630,7228393554688;	386,5;	0,0;	0,0
630,7888793945312;	376,0;	0,0;	0,0
630,8548583984375;	385,0;	0,0;	0,0
630,9208984375;	394,0;	0,0;	0,0
630,98681640625;	378,25;	0,0;	0,0
631,0527954101562;	386,75;	0,0;	0,0
631,1187744140625;	368,5;	0,0;	0,0
631,1846923828125;	365,5;	0,0;	0,0
631,2506713867188;	391,0;	0,0;	0,0
631,3165893554688;	375,5;	0,0;	0,0
631,3824462890625;	358,25;	0,0;	0,0
631,4483032226562;	362,75;	0,0;	0,0
631,51416015625;	374,75;	0,0;	0,0
631,5800170898438;	415,5;	0,0;	0,0
631,6459350585938;	395,25;	0,0;	0,0
631,711669921875;	423,0;	0,0;	0,0
631,7775268554688;	400,25;	0,0;	0,0
631,8433227539062;	452,75;	0,0;	0,0
631,9090576171875;	414,75;	0,0;	0,0
631,974853515625;	392,0;	0,0;	0,0
632,0406494140625;	380,5;	0,0;	0,0
632,1063232421875;	391,0;	0,0;	0,0
632,1720581054688;	372,25;	0,0;	0,0
632,23779296875;	402,75;	0,0;	0,0
632,303466796875;	374,0;	0,0;	0,0
632,369140625;	392,25;	0,0;	0,0
632,4348754882812;	366,5;	0,0;	0,0
632,5004272460938;	375,0;	0,0;	0,0
632,5661010742188;	375,25;	0,0;	0,0
632,6317138671875;	354,0;	0,0;	0,0
632,6973266601562;	348,0;	0,0;	0,0
632,762939453125;	360,75;	0,0;	0,0
632,8284912109375;	356,0;	0,0;	0,0
632,89404296875;	388,0;	0,0;	0,0
632,9595947265625;	346,5;	0,0;	0,0
633,025146484375;	355,0;	0,0;	0,0
633,0906372070312;	398,25;	0,0;	0,0
633,1561889648438;	375,0;	0,0;	0,0
633,2216186523438;	384,0;	0,0;	0,0
633,287109375;	354,25;	0,0;	0,0
633,3526000976562;	339,0;	0,0;	0,0
633,4180297851562;	375,5;	0,0;	0,0
633,4835205078125;	418,5;	0,0;	0,0
633,5488891601562;	448,0;	0,0;	0,0
633,6142578125;	445,5;	0,0;	0,0
633,6796875;	424,5;	0,0;	0,0
633,7450561523438;	457,75;	0,0;	0,0
633,8103637695312;	404,75;	0,0;	0,0
633,8757934570312;	382,5;	0,0;	0,0
633,9410400390625;	363,75;	0,0;	0,0
634,00634765625;	388,75;	0,0;	0,0
634,0717163085938;	392,25;	0,0;	0,0
634,136962890625;	348,75;	0,0;	0,0
634,2022094726562;	369,25;	0,0;	0,0
634,2675170898438;	367,75;	0,0;	0,0
634,3327026367188;	385,75;	0,0;	0,0
634,39794921875;	353,5;	0,0;	0,0
