0.0	2.0
Integration time [ms]:	1.05
Averaging Nr. [scans]:1
Smoothing Nr. [pixels]:0
Data measured with spectrometer [name]:b'1703273U8'
Wave	;Sample	;Dark	;Reference	;Scope	
[nm]	;[counts]	;[counts]	;[counts]	
 
250,49510192871094;	159,0;	0,0;	0,0
250,5340576171875;	161,25;	0,0;	0,0
250,572998046875;	165,75;	0,0;	0,0
250,61192321777344;	152,25;	0,0;	0,0
250,65086364746094;	167,5;	0,0;	0,0
250,68978881835938;	178,0;	0,0;	0,0
250,7287139892578;	147,5;	0,0;	0,0
250,7676239013672;	143,25;	0,0;	0,0
250,80653381347656;	153,0;	0,0;	0,0
250,8454132080078;	159,25;	0,0;	0,0
250,8843231201172;	161,0;	0,0;	0,0
250,92320251464844;	168,25;	0,0;	0,0
250,96209716796875;	165,0;	0,0;	0,0
251,00096130371094;	172,0;	0,0;	0,0
251,0398406982422;	266,0;	0,0;	0,0
251,0786895751953;	254,0;	0,0;	0,0
251,1175537109375;	277,0;	0,0;	0,0
251,15640258789062;	326,0;	0,0;	0,0
251,19525146484375;	229,0;	0,0;	0,0
251,2340850830078;	209,0;	0,0;	0,0
251,2729034423828;	165,0;	0,0;	0,0
251,31173706054688;	181,0;	0,0;	0,0
251,35055541992188;	194,0;	0,0;	0,0
251,38937377929688;	271,0;	0,0;	0,0
251,4281768798828;	255,0;	0,0;	0,0
251,46697998046875;	211,5;	0,0;	0,0
251,50576782226562;	192,0;	0,0;	0,0
251,5445556640625;	241,0;	0,0;	0,0
251,58334350585938;	287,0;	0,0;	0,0
251,6221160888672;	238,0;	0,0;	0,0
251,660888671875;	273,75;	0,0;	0,0
251,6996612548828;	326,0;	0,0;	0,0
251,7384033203125;	421,5;	0,0;	0,0
251,7771453857422;	507,5;	0,0;	0,0
251,81590270996094;	329,5;	0,0;	0,0
251,85462951660156;	312,75;	0,0;	0,0
251,8933563232422;	320,5;	0,0;	0,0
251,93206787109375;	242,75;	0,0;	0,0
251,97079467773438;	204,75;	0,0;	0,0
252,00950622558594;	224,75;	0,0;	0,0
252,0482177734375;	273,75;	0,0;	0,0
252,0869140625;	318,75;	0,0;	0,0
252,1256103515625;	330,75;	0,0;	0,0
252,16429138183594;	424,75;	0,0;	0,0
252,20297241210938;	584,75;	0,0;	0,0
252,2416534423828;	938,75;	0,0;	0,0
252,2803192138672;	631,75;	0,0;	0,0
252,31898498535156;	451,25;	0,0;	0,0
252,35765075683594;	464,75;	0,0;	0,0
252,3962860107422;	497,75;	0,0;	0,0
252,4349365234375;	434,25;	0,0;	0,0
252,4735565185547;	678,75;	0,0;	0,0
252,51219177246094;	725,0;	0,0;	0,0
252,5508270263672;	504,75;	0,0;	0,0
252,58944702148438;	572,25;	0,0;	0,0
252,62803649902344;	422,5;	0,0;	0,0
252,66665649414062;	577,25;	0,0;	0,0
252,70526123046875;	733,5;	0,0;	0,0
252,7438507080078;	447,75;	0,0;	0,0
252,78244018554688;	333,5;	0,0;	0,0
252,8209991455078;	429,75;	0,0;	0,0
252,8595733642578;	728,5;	0,0;	0,0
252,8981475830078;	942,75;	0,0;	0,0
252,93670654296875;	743,75;	0,0;	0,0
252,97528076171875;	371,75;	0,0;	0,0
253,01382446289062;	289,75;	0,0;	0,0
253,05235290527344;	280,75;	0,0;	0,0
253,09088134765625;	226,75;	0,0;	0,0
253,12942504882812;	224,75;	0,0;	0,0
253,16795349121094;	234,25;	0,0;	0,0
253,2064666748047;	269,75;	0,0;	0,0
253,24497985839844;	301,75;	0,0;	0,0
253,28347778320312;	462,75;	0,0;	0,0
253,32196044921875;	714,75;	0,0;	0,0
253,36045837402344;	553,0;	0,0;	0,0
253,39895629882812;	595,25;	0,0;	0,0
253,43743896484375;	422,25;	0,0;	0,0
253,4759063720703;	423,25;	0,0;	0,0
253,5143585205078;	608,25;	0,0;	0,0
253,55282592773438;	498,0;	0,0;	0,0
253,59127807617188;	526,5;	0,0;	0,0
253,62974548339844;	920,0;	0,0;	0,0
253,66818237304688;	766,5;	0,0;	0,0
253,7065887451172;	492,5;	0,0;	0,0
253,74502563476562;	422,5;	0,0;	0,0
253,78346252441406;	595,75;	0,0;	0,0
253,82188415527344;	982,5;	0,0;	0,0
253,8602752685547;	1060,75;	0,0;	0,0
253,89869689941406;	460,75;	0,0;	0,0
253,93707275390625;	304,75;	0,0;	0,0
253,9754638671875;	319,75;	0,0;	0,0
254,01385498046875;	516,25;	0,0;	0,0
254,05223083496094;	652,75;	0,0;	0,0
254,0906219482422;	516,75;	0,0;	0,0
254,1289520263672;	474,25;	0,0;	0,0
254,16732788085938;	552,75;	0,0;	0,0
254,2056884765625;	365,0;	0,0;	0,0
254,2440185546875;	381,25;	0,0;	0,0
254,28236389160156;	474,25;	0,0;	0,0
254,32070922851562;	505,5;	0,0;	0,0
254,3590087890625;	473,75;	0,0;	0,0
254,3973388671875;	357,5;	0,0;	0,0
254,4356689453125;	407,0;	0,0;	0,0
254,47396850585938;	483,5;	0,0;	0,0
254,5122833251953;	459,25;	0,0;	0,0
254,55056762695312;	581,75;	0,0;	0,0
254,58885192871094;	562,25;	0,0;	0,0
254,62713623046875;	498,5;	0,0;	0,0
254,6654052734375;	372,75;	0,0;	0,0
254,7036895751953;	270,5;	0,0;	0,0
254,741943359375;	289,75;	0,0;	0,0
254,7801971435547;	372,5;	0,0;	0,0
254,8184356689453;	552,75;	0,0;	0,0
254,856689453125;	629,25;	0,0;	0,0
254,8949432373047;	732,75;	0,0;	0,0
254,93316650390625;	740,75;	0,0;	0,0
