0.0	2.0
Integration time [ms]:	1.05
Averaging Nr. [scans]:1
Smoothing Nr. [pixels]:0
Data measured with spectrometer [name]:b'1703274U8'
Wave	;Sample	;Dark	;Reference	;Scope	
[nm]	;[counts]	;[counts]	;[counts]	
 
309,952880859375;	179,25;	0,0;	0,0
309,98712158203125;	300,0;	0,0;	0,0
310,0213928222656;	337,5;	0,0;	0,0
310,05560302734375;	259,0;	0,0;	0,0
310,0898132324219;	199,5;	0,0;	0,0
310,1240539550781;	148,0;	0,0;	0,0
310,15826416015625;	111,5;	0,0;	0,0
310,19244384765625;	105,75;	0,0;	0,0
310,2266845703125;	110,0;	0,0;	0,0
310,2608642578125;	121,25;	0,0;	0,0
310,2950439453125;	114,5;	0,0;	0,0
310,3292236328125;	117,25;	0,0;	0,0
310,3633728027344;	118,75;	0,0;	0,0
310,3975524902344;	113,5;	0,0;	0,0
310,43170166015625;	106,5;	0,0;	0,0
310,4658508300781;	109,75;	0,0;	0,0
310,5;	124,0;	0,0;	0,0
310,5341491699219;	107,75;	0,0;	0,0
310,5682678222656;	92,25;	0,0;	0,0
310,6023864746094;	131,75;	0,0;	0,0
310,6365051269531;	134,25;	0,0;	0,0
310,67059326171875;	106,5;	0,0;	0,0
310,7046813964844;	119,75;	0,0;	0,0
310,7388000488281;	116,5;	0,0;	0,0
310,77288818359375;	92,25;	0,0;	0,0
310,80694580078125;	110,5;	0,0;	0,0
310,8410339355469;	104,25;	0,0;	0,0
310,8750915527344;	108,25;	0,0;	0,0
310,9091491699219;	115,25;	0,0;	0,0
310,9432067871094;	119,5;	0,0;	0,0
310,9772644042969;	106,75;	0,0;	0,0
311,01129150390625;	137,0;	0,0;	0,0
311,0452880859375;	116,5;	0,0;	0,0
311,079345703125;	121,5;	0,0;	0,0
311,11334228515625;	103,25;	0,0;	0,0
311,1473388671875;	121,75;	0,0;	0,0
311,1813659667969;	121,0;	0,0;	0,0
311,2153625488281;	120,75;	0,0;	0,0
311,24932861328125;	130,25;	0,0;	0,0
311,2833251953125;	122,5;	0,0;	0,0
311,3172912597656;	114,25;	0,0;	0,0
311,35125732421875;	119,0;	0,0;	0,0
311,3852233886719;	128,25;	0,0;	0,0
311,419189453125;	122,0;	0,0;	0,0
311,453125;	126,75;	0,0;	0,0
